Player,Team,Pos,Fantasy Points Pts,Fantasy Points x-Pts,Fantasy Points +/-,Points Per Game PPG,Points Per Game x-PPG,Points Per Game +/-,#G,Receiving Rec,Receiving X-Rec,Receiving Yds,Receiving X-Yds,Receiving TD,Receiving X-TD,Rushing Yds,Rushing X-Yds,Rushing TD,Rushing X-TD
Darnell Mooney,CHI,WR,101.5,108.1,-6.599999999999994,8.5,9.0,-0.5,12,40,37.65,493,512.57,2,3.2064,2,0.0,0,0.0
Tyler Davis,GB,TE,6.6,7.3,-0.7000000000000002,0.4,0.4,0.0,17,4,3.71,26,28.72,0,0.1248,0,0.0,0,0.0
Kylen Granson,IND,TE,61.2,63.3,-2.0999999999999943,4.7,4.9,-0.2,13,31,28.69,302,298.56,0,0.72,0,4.0082,0,0.0
D'Wayne Eskridge,SEA,WR,13.8,19.6,-5.800000000000001,1.5,2.2,-0.6,9,7,9.44,58,86.53,0,0.096,10,9.261,0,0.0
Nick Westbrook-Ikhine,TEN,WR,82.7,75.0,7.700000000000003,4.9,4.4,0.5,17,25,25.19,397,335.3,3,2.7088,0,0.0,0,0.0
Jalen Guyton,LAC,WR,8.4,8.5,-0.0999999999999996,2.8,2.8,0.0,3,2,1.78,64,46.05,0,0.3456,0,0.0,0,0.0
Chris Godwin,TB,WR,224.8,227.4,-2.5999999999999943,15.0,15.2,-0.2,15,104,99.63,1023,1000.65,3,4.5312,5,4.7824,0,0.0
Samori Toure,GB,WR,19.2,16.7,2.5,1.7,1.5,0.2,11,5,4.76,82,82.22,1,0.6144,0,0.0,0,0.0
Geoff Swaim,TEN,TE,23.8,29.8,-6.0,1.4,1.8,-0.4,17,12,12.38,58,86.26,1,1.4688,0,0.0,0,0.0
Curtis Samuel,WAS,WR,178.2,170.4,7.799999999999983,10.5,10.0,0.5,17,64,62.21,655,639.4,4,4.0896,187,166.7078,1,0.5
Steven Sims,PIT,WR,31.4,41.2,-9.800000000000004,2.6,3.4,-0.8,12,14,16.17,104,154.51,0,0.5376,70,60.0936,0,0.05
Jaylen Waddle,MIA,WR,261.2,219.8,41.39999999999998,15.4,12.9,2.4,17,75,75.04,1356,1095.64,8,5.6272,26,12.4264,0,0.04
Brandon Johnson,DEN,WR,16.2,24.2,-8.0,2.3,3.5,-1.1,7,6,7.15,42,106.44,1,1.0656,0,0.0,0,0.0
Stefon Diggs,BUF,WR,316.6,293.5,23.100000000000023,19.8,18.3,1.4,16,108,98.52,1429,1285.78,11,11.0608,-3,0.0,0,0.0
Zay Jones,JAX,WR,196.1,220.7,-24.599999999999994,12.3,13.8,-1.5,16,82,80.06,823,898.93,5,7.8048,18,15.4742,0,0.39
D'Andre Swift,DET,RB,189.1,169.6,19.5,13.5,12.1,1.4,14,48,52.95,389,355.67,3,2.7264,542,416.491,5,3.85
Malcolm Brown,LA,RB,22.8,25.3,-2.5,2.5,2.8,-0.3,9,5,4.76,37,27.93,0,0.5184,81,68.3358,1,1.3
Zach Ertz,ARZ,TE,111.6,129.6,-18.0,11.2,13.0,-1.8,10,47,46.33,406,505.65,4,5.4448,0,0.0,0,0.0
Drew Sample,CIN,TE,1.8,4.1,-2.3,0.9,2.0,-1.1,2,2,1.76,-2,11.44,0,0.2016,0,0.0,0,0.0
Zach Gentry,PIT,TE,32.2,38.2,-6.0,1.9,2.2,-0.4,17,19,17.95,132,153.79,0,0.816,0,0.0,0,0.0
Ezekiel Elliott,DAL,RB,185.8,189.5,-3.6999999999999886,12.4,12.6,-0.2,15,17,19.18,92,131.02,0,0.4032,876,953.6902,12,9.9
D.K. Metcalf,SEA,WR,230.8,256.7,-25.899999999999977,13.6,15.1,-1.5,17,90,84.02,1048,1097.53,6,10.4944,0,0.0,0,0.0
JuJu Smith-Schuster,KC,WR,189.3,171.8,17.5,11.8,10.7,1.1,16,78,70.5,933,755.78,3,4.2816,0,0.0,0,0.0
Darius Slayton,NYG,WR,130.4,124.0,6.400000000000006,8.2,7.8,0.4,16,46,45.59,724,669.41,2,1.9104,0,0.0,0,0.0
Noah Fant,SEA,TE,122.6,117.6,5.0,7.2,6.9,0.3,17,50,45.81,486,477.55,4,4.0128,0,0.0,0,0.0
Dyami Brown,WAS,WR,32.8,24.9,7.899999999999999,2.2,1.7,0.5,15,5,5.57,143,149.91,2,0.6336,15,4.8804,0,0.0
Dalton Schultz,DAL,TE,144.7,165.7,-21.0,9.6,11.0,-1.4,15,57,60.24,577,644.01,5,6.8352,0,0.0,0,0.0
Equanimeous St. Brown,CHI,WR,64.7,68.9,-4.200000000000003,4.0,4.3,-0.3,16,21,23.6,323,338.2,1,1.5168,54,22.8536,0,0.02
Jarvis Landry,NO,WR,58.2,68.9,-10.700000000000005,6.5,7.7,-1.2,9,25,24.46,272,283.49,1,2.688,0,0.0,0,0.0
Cole Kmet,CHI,TE,147.3,136.8,10.5,8.7,8.0,0.6,17,50,51.26,544,577.9,7,4.4736,9,8.6926,0,0.0
Jordan Akins,HST,TE,116.5,86.6,29.90000000000001,7.8,5.8,2.0,15,37,33.57,495,341.85,5,3.1392,0,0.0,0,0.0
Amari Rodgers,HST,WR,43.1,40.6,2.5,3.1,2.9,0.2,14,16,15.22,204,196.37,1,0.7968,7,9.5354,0,0.0
Sony Michel,LAC,RB,24.9,42.4,-17.5,2.5,4.2,-1.8,10,9,11.34,53,92.18,0,0.0,106,147.1768,0,1.19
Laquon Treadwell,SEA,WR,10.2,13.4,-3.200000000000001,1.7,2.2,-0.5,6,6,5.64,42,49.11,0,0.4704,0,0.0,0,0.0
Mack Hollins,LV,WR,154.8,167.6,-12.799999999999985,9.1,9.9,-0.8,17,57,57.28,690,795.34,4,4.8096,48,18.0026,0,0.02
Romeo Doubs,GB,WR,103.6,110.1,-6.5,8.0,8.5,-0.5,13,42,43.46,425,510.34,3,2.5056,11,4.0866,0,0.02
Keaontay Ingram,ARZ,RB,18.5,23.6,-5.100000000000001,1.9,2.4,-0.5,10,4,4.6,21,26.84,0,0.1248,64,107.0944,1,0.81
J.D. McKissic,WAS,RB,53.8,75.5,-21.700000000000003,6.7,9.4,-2.7,8,27,32.12,173,237.06,0,1.488,95,98.8722,0,0.15
Eno Benjamin,NO,RB,87.5,92.0,-4.5,6.3,6.6,-0.3,14,25,26.23,193,157.22,0,0.864,312,325.458,2,2.05
Keenan Allen,LAC,WR,168.4,163.0,5.400000000000006,16.8,16.3,0.5,10,66,59.04,776,684.97,4,5.904,8,0.0,0,0.0
