Player,Team,Pos,Fantasy Points Pts,Fantasy Points x-Pts,Fantasy Points +/-,Points Per Game PPG,Points Per Game x-PPG,Points Per Game +/-,#G,Receiving Rec,Receiving X-Rec,Receiving Yds,Receiving X-Yds,Receiving TD,Receiving X-TD,Rushing Yds,Rushing X-Yds,Rushing TD,Rushing X-TD
Laviska Shenault Jr.,CAR,WR,72.7,51.4,21.300000000000004,5.6,4.0,1.6,13,27,27.79,272,186.17,1,0.5184,65,18.8552,1,0.0
Trevon Wesco,CHI,TE,4.6,7.2,-2.6000000000000005,0.3,0.5,-0.2,14,2,2.39,26,22.85,0,0.4128,0,0.0,0,0.0
Gerald Everett,LAC,TE,137.5,145.3,-7.800000000000011,8.6,9.1,-0.5,16,58,59.31,555,577.42,4,4.704,0,0.0,0,0.0
Ben Ellefson,MIN,TE,5.6,6.3,-0.7000000000000002,1.4,1.6,-0.2,4,3,2.39,26,25.82,0,0.2208,0,0.0,0,0.0
Charlie Woerner,SF,TE,0.0,3.6,-3.6,0.0,0.2,-0.2,17,0,1.05,0,25.54,0,0.0,0,0.0,0,0.0
D'Ernest Johnson,CLV,RB,5.4,6.4,-1.0,0.9,1.1,-0.2,6,3,2.64,7,19.07,0,0.0,17,15.7094,0,0.05
Evan Engram,JAX,TE,174.9,167.3,7.599999999999994,10.3,9.8,0.4,17,73,70.4,766,712.77,4,3.9168,13,6.4582,0,0.25
Austin Ekeler,LAC,RB,377.4,346.3,31.09999999999997,22.2,20.4,1.8,17,107,105.95,709,661.07,5,6.9136,915,820.732,13,8.45
David Bell,CLV,WR,45.4,48.0,-2.6000000000000014,2.8,3.0,-0.2,16,24,22.59,214,234.19,0,0.3264,0,0.0,0,0.0
Tyler Lockett,SEA,WR,241.3,198.2,43.10000000000002,15.1,12.4,2.7,16,84,71.65,1033,920.56,9,5.7504,0,0.0,0,0.0
Rashod Bateman,BLT,WR,55.5,51.0,4.5,9.3,8.5,0.8,6,15,18.74,285,256.93,2,1.0944,0,0.0,0,0.0
Tyrion Davis-Price,SF,RB,9.9,25.2,-15.3,1.7,4.2,-2.5,6,0,1.77,0,13.19,0,0.0,99,135.2502,0,1.43
Will Dissly,SEA,TE,86.9,68.5,18.40000000000001,5.8,4.6,1.2,15,34,29.42,349,302.35,3,1.4784,0,0.0,0,0.0
KaVontae Turpin,DAL,WR,3.6,3.4,0.2000000000000001,0.2,0.2,0.0,16,1,0.83,9,8.45,0,0.0,17,12.6224,0,0.08
Jeff Wilson Jr.,MIA,RB,162.5,166.4,-3.9000000000000057,10.2,10.4,-0.2,16,22,28.97,185,224.02,1,1.0848,860,739.7052,5,5.75
Miles Boykin,PIT,WR,3.1,4.6,-1.4999999999999996,0.2,0.3,-0.1,14,2,1.68,11,24.71,0,0.0672,0,0.0,0,0.0
Rex Burkhead,HST,RB,71.4,98.5,-27.099999999999994,4.5,6.2,-1.7,16,37,39.26,204,278.06,1,2.2752,80,105.8404,0,1.2
Trayveon Williams,CIN,RB,8.0,6.2,1.7999999999999998,1.6,1.2,0.4,5,2,1.31,30,16.12,0,0.048,30,25.9014,0,0.06
Courtland Sutton,DEN,WR,159.5,188.7,-29.19999999999999,10.6,12.6,-1.9,15,64,62.33,830,867.74,2,6.5104,5,4.5178,0,0.01
Austin Trammell,LA,WR,3.3,5.5,-2.2,0.5,0.9,-0.4,6,2,2.71,13,28.13,0,0.0,0,0.0,0,0.0
Raheem Blackshear,CAR,RB,45.0,36.3,8.700000000000003,4.1,3.3,0.8,11,10,10.67,93,63.75,0,0.3456,77,87.2592,3,1.41
Penny Hart,SEA,WR,5.0,6.6,-1.5999999999999996,0.7,0.9,-0.2,7,3,2.52,20,23.98,0,0.2784,0,0.0,0,0.0
Andre Baccellia,ARZ,WR,11.5,16.6,-5.100000000000001,1.4,2.1,-0.6,8,7,6.65,45,76.87,0,0.384,0,0.0,0,0.0
Corey Davis,NYJ,WR,97.6,104.6,-7.0,7.5,8.0,-0.5,13,32,34.25,536,544.2,2,2.6592,0,0.0,0,0.0
Kenny Golladay,NYG,WR,20.1,30.1,-10.0,1.7,2.5,-0.8,12,6,10.47,81,127.87,1,1.1328,0,0.0,0,0.0
Tyler Mabry,SEA,TE,7.7,3.2,4.5,3.9,1.6,2.3,2,1,0.73,7,4.63,1,0.336,0,0.0,0,0.0
Ty Johnson,NYJ,RB,42.8,46.5,-3.700000000000003,3.9,4.2,-0.3,11,12,17.28,88,141.36,0,0.0288,160,133.9856,1,0.25
Mike Williams,LAC,WR,176.5,160.2,16.30000000000001,13.6,12.3,1.3,13,63,55.0,895,756.7,4,4.9248,0,0.0,0,0.0
Alec Pierce,IND,WR,112.3,124.7,-12.400000000000006,7.0,7.8,-0.8,16,41,45.47,593,627.08,2,2.7456,0,0.0,0,0.0
Byron Pringle,CHI,WR,35.5,27.1,8.399999999999999,3.2,2.5,0.8,11,10,8.12,135,127.47,2,1.0368,0,0.0,0,0.0
Josh Jacobs,LV,RB,330.3,296.2,34.10000000000002,19.4,17.4,2.0,17,53,52.51,400,404.75,0,0.8832,1653,1449.9418,12,8.82
Trey McBride,ARZ,TE,61.5,64.2,-2.700000000000003,4.1,4.3,-0.2,15,29,28.82,265,305.1,1,0.816,0,0.0,0,0.0
Chris Manhertz,JAX,TE,10.2,13.7,-3.5,0.6,0.8,-0.2,17,6,6.67,42,60.33,0,0.1728,0,0.0,0,0.0
Mason Schreck,HST,TE,2.6,2.6,0.0,0.9,0.9,0.0,3,2,1.34,6,12.22,0,0.0,0,0.0,0,0.0
Marcus Johnson,NYG,WR,18.9,39.1,-20.200000000000003,1.3,2.8,-1.4,14,9,12.71,99,157.94,0,1.7664,0,0.0,0,0.0
Ameer Abdullah,LV,RB,54.1,57.9,-3.799999999999997,3.6,3.9,-0.3,15,25,25.43,211,198.47,1,1.7376,20,14.406,0,0.13
Nyheim Hines,BUF,RB,69.4,80.2,-10.799999999999995,4.3,5.0,-0.7,16,30,28.77,241,220.59,1,1.728,33,96.2262,1,1.57
Samaje Perine,CIN,RB,142.1,132.3,9.799999999999985,8.9,8.3,0.6,16,38,40.52,287,262.84,4,1.9968,394,406.8764,2,2.14
Jake Kumerow,BUF,WR,10.4,12.4,-2.0,1.7,2.1,-0.3,6,4,5.03,64,69.63,0,0.0672,0,0.0,0,0.0
Ryan Griffin,CHI,TE,6.6,15.1,-8.5,0.4,1.0,-0.6,15,4,5.4,26,56.56,0,0.6816,0,0.0,0,0.0
Austin Hooper,TEN,TE,97.4,95.9,1.5,5.7,5.6,0.1,17,41,37.49,444,422.13,2,2.6976,0,0.0,0,0.0
Racey McMath,TEN,WR,6.4,14.6,-8.2,1.6,3.6,-2.0,4,2,2.97,40,73.21,0,0.6432,4,4.6354,0,0.0
Antonio Gibson,WAS,RB,165.9,191.0,-25.099999999999994,11.1,12.7,-1.7,15,46,46.34,353,331.35,2,1.9872,546,616.4612,3,6.32
Randall Cobb,GB,WR,81.7,90.1,-8.399999999999991,6.3,6.9,-0.6,13,34,32.82,417,401.98,1,2.8512,0,0.0,0,0.0
Tevin Coleman,SF,RB,22.0,15.3,6.699999999999999,7.3,5.1,2.2,3,3,2.25,44,23.12,1,0.2208,26,47.4516,1,0.78
MyCole Pruitt,ATL,TE,55.0,46.7,8.299999999999997,4.2,3.6,0.6,13,16,15.66,150,143.91,4,2.7744,0,0.0,0,0.0
Albert Okwuegbunam,DEN,TE,25.5,30.0,-4.5,3.2,3.8,-0.6,8,10,12.14,95,122.05,1,0.9408,0,0.0,0,0.0
Durham Smythe,MIA,TE,40.0,39.6,0.3999999999999986,2.5,2.5,0.0,16,15,14.77,129,141.55,1,1.2,1,3.3716,1,0.53
Kirk Merritt,NO,WR,0.0,1.7,-1.7,0.0,0.6,-0.6,3,0,0.38,0,9.06,0,0.0768,0,0.0,0,0.0
Gabriel Davis,BUF,WR,173.5,181.8,-8.300000000000011,11.6,12.1,-0.6,15,48,53.01,835,848.48,7,7.3248,0,0.0,0,0.0
Devine Ozigbo,DEN,RB,1.7,3.0,-1.3,0.6,1.0,-0.4,3,1,1.0,3,4.78,0,0.0,4,12.348,0,0.05
Jordan Mason,SF,RB,31.8,24.8,7.0,3.5,2.8,0.8,9,0,0.0,0,0.0,0,0.0,258,187.5724,1,1.0
Salvon Ahmed,MIA,RB,14.2,7.4,6.799999999999999,2.4,1.2,1.1,6,1,0.86,8,6.36,0,0.0,64,50.7934,1,0.14
Jaylen Warren,PIT,RB,93.3,92.9,0.3999999999999915,5.8,5.8,0.0,16,28,27.37,214,165.33,0,0.8256,379,327.1142,1,1.89
Adam Trautman,NO,TE,44.7,36.0,8.700000000000003,3.0,2.4,0.6,15,18,16.39,207,159.09,1,0.6144,0,0.0,0,0.0
Phillip Lindsay,IND,RB,12.8,17.2,-4.399999999999999,4.3,5.7,-1.5,3,6,5.47,19,45.05,0,0.0288,49,68.796,0,0.03
Darrel Williams,ARZ,RB,21.1,23.2,-2.099999999999998,4.2,4.6,-0.4,5,4,5.97,9,30.02,0,0.3072,102,85.6426,1,0.64
Josh Palmer,LAC,WR,167.2,167.6,-0.4000000000000057,10.4,10.5,0.0,16,72,66.07,768,749.21,3,4.368,4,3.675,0,0.0
Chris Olave,NO,WR,200.4,201.5,-1.0999999999999943,13.4,13.4,-0.1,15,72,68.57,1044,1088.43,4,4.0224,0,0.0,0,0.0
Braylon Sanders,MIA,WR,3.7,6.0,-2.3,1.2,2.0,-0.8,3,2,2.19,17,38.0,0,0.0096,0,0.0,0,0.0
Scotty Miller,TB,WR,42.3,71.1,-28.8,3.0,5.1,-2.1,14,23,24.13,185,327.32,0,2.2944,8,4.5766,0,0.0
Cody White,PIT,WR,1.2,1.5,-0.3,1.2,1.5,-0.3,1,1,0.85,2,6.94,0,0.0,0,0.0,0,0.0
Kenneth Gainwell,PHI,RB,88.0,89.8,-1.7999999999999972,5.2,5.3,-0.1,17,23,23.46,170,172.48,0,0.8928,240,198.911,4,3.98
Isaiah Spiller,LAC,RB,8.4,12.9,-4.5,1.4,2.1,-0.8,6,3,2.8,13,16.14,0,0.0096,41,82.369,0,0.04
Isaiah Hodgins,NYG,WR,100.2,87.8,12.400000000000006,10.0,8.8,1.2,10,37,30.66,392,374.64,4,3.2736,0,0.0,0,0.0
Rashid Shaheed,NO,WR,100.4,60.8,39.60000000000001,8.4,5.1,3.3,12,28,23.38,487,318.32,2,0.6048,57,18.032,1,0.02
Devin Duvernay,BLT,WR,110.1,98.8,11.299999999999995,7.9,7.1,0.8,14,37,32.74,407,375.01,3,3.5904,84,46.0502,1,0.4
Justin Jefferson,MIN,WR,365.3,327.5,37.80000000000001,21.5,19.3,2.2,17,128,114.64,1809,1429.65,8,11.0976,24,9.3296,1,0.4
Keith Kirkwood,NO,WR,3.8,6.1,-2.3,0.8,1.2,-0.5,5,2,2.24,18,35.23,0,0.0576,0,0.0,0,0.0
Jerome Ford,CLV,RB,1.2,3.8,-2.6,0.6,1.9,-1.3,2,0,0.0,0,0.0,0,0.0,12,35.3388,0,0.04
Jordan Howard,NO,RB,0.1,0.5,-0.4,0.1,0.3,-0.2,2,0,0.0,0,0.0,0,0.0,1,4.655,0,0.0
David Sills,NYG,WR,21.6,32.7,-11.1,2.4,3.6,-1.2,9,11,12.81,106,161.38,0,0.624,0,0.0,0,0.0
James Robinson,NYJ,RB,88.6,93.2,-4.6000000000000085,8.1,8.5,-0.4,11,11,11.18,51,69.56,2,1.488,425,456.4154,3,3.41
Tyler Kroft,SF,TE,9.7,11.8,-2.1000000000000014,0.9,1.1,-0.2,11,4,4.3,57,63.01,0,0.192,0,0.0,0,0.0
Rachaad White,TB,RB,144.8,160.0,-15.199999999999989,8.5,9.4,-0.9,17,50,48.36,290,323.45,2,1.7568,478,557.3264,1,2.17
Isaiah McKenzie,BUF,WR,119.8,117.1,2.700000000000003,8.0,7.8,0.2,15,42,42.18,423,459.28,4,4.0032,55,33.5748,1,0.27
Rashaad Penny,SEA,RB,52.2,36.1,16.1,10.4,7.2,3.2,5,4,4.54,16,25.26,0,0.1824,346,253.2222,2,0.44
Keelan Cole,LV,WR,30.1,44.9,-14.799999999999995,2.1,3.2,-1.1,14,10,12.5,141,208.37,1,1.9216,0,0.0,0,0.0
Bryan Edwards,ATL,WR,4.5,13.7,-9.2,0.6,2.0,-1.3,7,3,3.37,15,29.73,0,1.2288,0,0.0,0,0.0
Dontrell Hilliard,TEN,RB,77.2,57.3,19.90000000000001,6.4,4.8,1.7,12,21,21.78,177,143.83,4,1.7376,145,101.92,0,0.08
Jason Cabinda,DET,RB,1.9,5.8,-3.9,0.2,0.7,-0.5,8,1,2.35,5,25.87,0,0.0768,4,3.3712,0,0.01
Kyle Juszczyk,SF,RB,53.6,47.1,6.5,3.4,2.9,0.4,16,19,17.95,200,153.61,1,0.9216,26,17.3664,1,1.08
Tyler Conklin,NYJ,TE,131.5,142.7,-11.199999999999989,7.7,8.4,-0.7,17,58,59.12,552,666.17,3,2.4,3,5.6252,0,0.33
Jack Stoll,PHI,TE,23.3,25.3,-2.0,1.4,1.5,-0.1,17,11,10.59,123,117.24,0,0.4992,0,0.0,0,0.0
Khalil Herbert,CHI,RB,117.9,94.2,23.700000000000003,9.1,7.2,1.8,13,9,9.7,57,51.97,1,0.1344,732,551.9858,4,3.88
Eric Saubert,DEN,TE,35.8,43.5,-7.700000000000003,2.1,2.6,-0.5,17,15,16.8,148,185.67,1,1.3536,0,0.0,0,0.0
Michael Carter,NYJ,RB,128.0,138.4,-10.400000000000006,8.0,8.7,-0.7,16,41,38.12,288,253.88,0,1.344,402,483.866,3,3.08
Kevin Harris,NE,RB,11.2,9.5,1.6999999999999993,2.2,1.9,0.3,5,0,0.0,0,0.0,0,0.0,52,80.3698,1,0.25
Tylan Wallace,BLT,WR,7.3,10.0,-2.7,0.9,1.3,-0.3,8,4,3.54,33,56.7,0,0.1344,0,0.0,0,0.0
Garrett Wilson,NYJ,WR,217.7,249.3,-31.600000000000023,12.8,14.7,-1.9,17,83,88.5,1103,1137.98,4,7.4896,4,17.3362,0,0.06
Quintin Morris,BUF,TE,22.4,18.3,4.099999999999998,1.6,1.3,0.3,14,8,6.16,84,57.55,1,1.056,0,0.0,0,0.0
Deonte Harty,NO,WR,3.3,3.0,0.2999999999999998,0.8,0.8,0.1,4,2,1.61,13,13.43,0,0.0,0,0.0,0,0.0
Joe Fortson,KC,TE,31.8,29.6,2.2,2.4,2.3,0.2,13,9,8.43,108,82.0,2,2.16,0,0.0,0,0.0
Tyler Higbee,LA,TE,152.0,184.9,-32.900000000000006,8.9,10.9,-1.9,17,72,81.03,620,667.16,3,6.1936,0,0.0,0,0.0
Amari Cooper,CLV,WR,248.0,231.7,16.30000000000001,14.6,13.6,1.0,17,78,74.03,1160,1036.1,9,9.0048,0,0.0,0,0.0
James Washington,DAL,WR,0.0,0.9,-0.9,0.0,0.5,-0.5,2,0,0.49,0,3.8,0,0.0,0,0.0,0,0.0
Jameson Williams,DET,WR,15.1,14.7,0.4000000000000003,2.5,2.4,0.1,6,1,4.48,41,79.77,1,0.288,40,4.8412,0,0.01
Julio Jones,TB,WR,70.4,85.5,-15.099999999999994,7.0,8.6,-1.5,10,24,25.64,299,369.62,2,3.4272,45,21.4228,0,0.03
Tom Kennedy,DET,WR,22.1,21.8,0.3000000000000007,3.2,3.1,0.0,7,8,9.1,141,117.83,0,0.1536,0,0.0,0,0.0
Teagan Quitoriano,HST,TE,30.3,28.2,2.1000000000000014,3.4,3.1,0.2,9,7,7.54,113,96.39,2,1.8432,0,0.0,0,0.0
Kadarius Toney,KC,WR,59.3,40.7,18.599999999999994,6.6,4.5,2.1,9,16,15.13,171,127.25,2,1.6128,82,24.7842,1,0.12
Greg Dortch,ARZ,WR,114.5,109.8,4.700000000000003,7.2,6.9,0.3,16,52,48.2,461,432.9,2,2.208,44,28.6454,0,0.37
Jamaal Williams,DET,RB,227.9,229.9,-2.0,13.4,13.5,-0.1,17,12,13.54,73,111.43,0,0.3744,1066,1045.9898,17,16.39
Mike Boone,DEN,RB,28.8,33.5,-4.699999999999999,3.2,3.7,-0.5,9,9,9.85,96,83.88,0,0.6144,102,108.3586,0,0.12
Anthony McFarland Jr.,PIT,RB,6.1,6.4,-0.3000000000000007,6.1,6.4,-0.3,1,2,1.79,11,12.29,0,0.0,30,24.3824,0,0.15
George Pickens,PIT,WR,164.5,148.2,16.30000000000001,9.7,8.7,1.0,17,52,47.05,801,753.56,4,3.6192,24,10.6432,1,0.5
Nick Bellore,SEA,RB,0.3,0.5,-0.2,0.0,0.1,0.0,8,0,0.0,0,0.0,0,0.0,3,3.4986,0,0.02
Chris Evans,CIN,RB,12.8,6.8,6.000000000000001,1.6,0.8,0.8,8,3,2.03,38,28.99,1,0.3168,0,0.0,0,0.0
Colby Parkinson,SEA,TE,69.2,58.8,10.400000000000006,4.1,3.5,0.6,17,25,22.45,322,259.8,2,1.728,0,0.0,0,0.0
Zach Pascal,PHI,WR,36.0,30.8,5.199999999999999,2.1,1.8,0.3,17,15,13.52,150,134.94,1,0.4128,0,1.9306,0,0.18
Jamal Agnew,JAX,WR,68.3,63.5,4.799999999999997,4.6,4.2,0.3,15,23,22.78,187,211.88,3,2.304,86,52.1654,0,0.09
Marcedes Lewis,GB,TE,24.6,20.0,4.600000000000001,1.4,1.2,0.3,17,6,4.88,66,46.05,2,1.7568,0,0.0,0,0.0
Royce Freeman,HST,RB,21.0,31.1,-10.1,5.3,7.8,-2.5,4,6,5.44,33,30.3,0,0.0672,117,175.1652,0,0.79
Darrell Henderson,JAX,RB,73.5,75.3,-1.7999999999999972,7.3,7.5,-0.2,10,17,17.38,102,124.8,0,0.4608,283,299.8604,3,2.12
Dareke Young,SEA,WR,4.4,2.9,1.5000000000000004,0.3,0.2,0.1,13,2,1.7,24,11.7,0,0.0,0,0.0,0,0.0
Marquez Valdes-Scantling,KC,WR,122.4,147.3,-24.90000000000001,7.2,8.7,-1.5,17,42,47.02,687,725.98,2,4.5312,-3,4.7726,0,0.01
C.J. Ham,MIN,RB,31.3,29.8,1.5,1.8,1.8,0.1,17,10,9.33,86,88.46,0,0.8832,7,11.1234,2,0.87
Dennis Houston,DAL,WR,3.6,8.4,-4.800000000000001,1.8,4.2,-2.4,2,2,3.14,16,40.59,0,0.192,0,0.0,0,0.0
Stephen Anderson,ARZ,TE,3.9,12.5,-8.6,0.3,0.8,-0.6,15,3,5.06,9,44.71,0,0.4992,0,0.0,0,0.0
Dawson Knox,BUF,TE,135.7,122.8,12.899999999999991,9.0,8.2,0.9,15,48,45.57,517,497.17,6,4.5888,0,0.0,0,0.0
David Njoku,CLV,TE,144.0,143.8,0.1999999999999886,10.3,10.3,0.0,14,58,55.03,628,563.78,4,5.3184,-8,4.8804,0,0.0
Travis Etienne,JAX,RB,208.6,209.7,-1.0999999999999943,12.3,12.3,-0.1,17,35,36.99,316,248.23,0,1.5744,1120,907.1782,5,7.96
Johnny Mundt,MIN,TE,39.0,37.2,1.7999999999999972,2.3,2.2,0.1,17,19,16.97,140,126.37,1,1.2576,0,0.0,0,0.0
Frank Darby,ATL,WR,2.5,2.1,0.3999999999999999,0.5,0.4,0.1,5,1,0.63,15,10.39,0,0.0672,0,0.0,0,0.0
Derrick Henry,TEN,RB,304.2,268.2,36.0,19.0,16.8,2.3,16,33,32.85,398,237.57,0,1.5264,1534,1510.5152,13,8.57
Tyler Badie,DEN,RB,9.4,2.2,7.2,9.4,2.2,7.2,1,1,1.0,24,3.7,1,0.0576,0,4.6354,0,0.0
Snoop Conner,JAX,RB,10.2,7.7,2.499999999999999,1.3,1.0,0.3,8,0,0.0,0,0.0,0,0.0,42,52.626,1,0.4
Jake Ferguson,DAL,TE,48.4,41.8,6.600000000000001,3.0,2.6,0.4,16,19,17.86,174,162.32,2,1.2768,0,0.0,0,0.0
Dallas Goedert,PHI,TE,143.2,120.5,22.69999999999999,11.9,10.0,1.9,12,55,50.03,702,527.04,3,2.9664,0,0.0,0,0.0
Damien Williams,ATL,RB,0.2,0.9,-0.7,0.2,0.9,-0.7,1,0,0.0,0,0.0,0,0.0,2,9.4374,0,0.0
JaMycal Hasty,JAX,RB,70.0,67.8,2.200000000000003,4.4,4.2,0.1,16,20,22.29,126,128.51,1,0.4224,194,189.1796,2,1.86
Devin Asiasi,CIN,TE,2.5,7.9,-5.4,0.2,0.7,-0.5,12,2,2.71,5,44.4,0,0.1248,0,0.0,0,0.0
Josh Reynolds,DET,WR,103.9,118.5,-14.599999999999994,7.4,8.5,-1.0,14,38,34.54,479,483.22,3,5.9328,0,0.0,0,0.0
Shane Zylstra,DET,TE,41.0,28.6,12.4,3.2,2.2,1.0,13,11,8.63,60,72.03,4,2.1216,0,0.0,0,0.0
Stone Smartt,LAC,TE,5.7,8.3,-2.6000000000000005,0.8,1.2,-0.4,7,4,4.12,17,42.23,0,0.0,0,0.0,0,0.0
Sean McKeon,DAL,TE,3.1,3.3,-0.1999999999999997,0.2,0.3,0.0,13,2,1.7,11,14.94,0,0.0192,0,0.0,0,0.0
Jake Tonges,CHI,TE,0.0,2.3,-2.3,0.0,0.8,-0.8,3,0,0.74,0,14.54,0,0.0096,0,0.0,0,0.0
Raheem Mostert,MIA,RB,170.4,165.7,4.700000000000017,10.7,10.4,0.3,16,31,31.5,202,220.8,2,2.2368,892,782.8636,3,3.41
DeAndre Hopkins,ARZ,WR,153.7,159.1,-5.400000000000006,17.1,17.7,-0.6,9,64,60.45,717,774.2,3,3.5328,0,0.0,0,0.0
Kalif Raymond,DET,WR,112.2,116.0,-3.799999999999997,6.6,6.8,-0.2,17,47,43.14,616,529.92,0,2.7552,36,30.4682,0,0.05
Alec Ingold,MIA,RB,38.3,44.6,-6.300000000000004,2.3,2.6,-0.4,17,15,18.28,105,161.79,1,0.4128,8,17.4742,1,0.98
Demetric Felton,CLV,WR,2.4,8.9,-6.5,0.5,1.8,-1.3,5,2,4.16,8,41.8,0,0.0096,-4,4.1356,0,0.02
Christian Kirk,JAX,WR,243.9,227.6,16.30000000000001,14.3,13.4,1.0,17,84,82.3,1108,989.36,8,7.296,11,21.2954,0,0.08
Michael Pittman Jr.,IND,WR,218.5,239.5,-21.0,13.7,15.0,-1.3,16,99,96.6,925,1056.74,4,5.9728,30,13.7298,0,0.01
Mitchell Wilcox,CIN,TE,36.8,31.5,5.299999999999997,2.3,2.0,0.3,16,17,14.52,138,136.68,1,0.5472,0,0.0,0,0.0
Hayden Hurst,CIN,TE,105.4,109.1,-3.6999999999999886,8.1,8.4,-0.3,13,52,47.38,414,434.42,2,3.0528,0,0.0,0,0.0
Stephen Sullivan,CAR,TE,6.6,9.3,-2.700000000000001,0.5,0.7,-0.2,14,2,3.07,46,54.54,0,0.1344,0,0.0,0,0.0
Ronnie Rivers,LA,RB,10.0,11.8,-1.8000000000000007,3.3,3.9,-0.6,3,5,4.69,29,22.05,0,0.1344,21,38.7296,0,0.03
Javonte Williams,DEN,RB,44.0,62.7,-18.700000000000003,11.0,15.7,-4.7,4,16,17.81,76,106.09,0,1.1328,204,204.84,0,1.17
Luke Farrell,JAX,TE,8.0,6.4,1.5999999999999996,0.5,0.4,0.1,16,4,3.49,40,28.99,0,0.0096,0,0.0,0,0.0
Brian Robinson Jr.,WAS,RB,112.7,137.7,-24.999999999999982,9.4,11.5,-2.1,12,9,10.1,60,62.02,1,0.192,797,865.0182,2,5.63
Marquez Callaway,NO,WR,37.8,57.7,-19.90000000000001,2.7,4.1,-1.4,14,16,18.92,158,246.96,1,2.352,0,0.0,0,0.0
Ja'Marr Chase,CIN,WR,246.4,238.4,8.0,20.5,19.9,0.7,12,87,82.97,1046,949.77,9,9.7648,8,16.7384,0,0.04
Dare Ogunbowale,HST,RB,48.7,60.4,-11.699999999999996,3.5,4.3,-0.8,14,20,20.69,104,133.31,0,0.2016,123,173.9598,1,1.29
Tyler Allgeier,ATL,RB,157.4,147.4,10.0,9.8,9.2,0.6,16,16,15.27,139,99.25,1,0.1152,1035,874.9648,3,5.67
Eric Tomlinson,DEN,TE,28.9,29.4,-0.5,1.7,1.7,0.0,17,9,8.41,79,68.61,2,2.3616,0,0.0,0,0.0
Justice Hill,BLT,RB,44.0,41.1,2.8999999999999986,2.9,2.7,0.2,15,12,10.39,58,60.26,0,0.0384,262,218.5596,0,0.43
N'Keal Harry,CHI,WR,24.6,16.5,8.100000000000001,3.5,2.4,1.2,7,7,5.29,116,84.27,1,0.4608,0,0.0,0,0.0
Kenneth Walker III,SEA,RB,202.5,184.2,18.30000000000001,13.5,12.3,1.2,15,27,30.51,165,182.68,0,0.2016,1050,951.591,9,6.51
Justin Watson,KC,WR,58.5,64.2,-5.700000000000003,3.4,3.8,-0.3,17,15,17.11,315,327.39,2,2.4,0,0.0,0,0.0
Kyle Philips,TEN,WR,15.8,20.0,-4.199999999999999,4.0,5.0,-1.0,4,8,9.21,78,107.68,0,0.0096,0,0.0,0,0.0
Jonathan Ward,TEN,RB,5.2,7.7,-2.5,2.6,3.9,-1.3,2,2,2.45,7,17.19,0,0.2112,25,22.491,0,0.0
Michael Gallup,DAL,WR,105.4,128.9,-23.5,7.5,9.2,-1.7,14,39,43.25,424,571.66,4,4.7424,0,0.0,0,0.0
Cedrick Wilson,MIA,WR,26.4,28.6,-2.200000000000003,1.8,1.9,-0.1,15,12,11.36,136,146.01,0,0.432,8,0.0,0,0.0
Malik Davis,DAL,RB,34.4,29.3,5.099999999999998,4.9,4.2,0.7,7,6,5.2,63,31.63,0,0.3168,161,168.4816,1,0.37
Marcus Jones,NE,WR,17.8,5.7,12.1,3.6,1.1,2.4,5,4,3.67,78,19.54,1,0.0096,0,0.0,0,0.0
Dante Pettis,CHI,WR,65.2,62.0,3.200000000000003,3.8,3.6,0.2,17,19,22.44,245,263.14,3,2.064,37,7.8204,0,0.02
Tony Pollard,DAL,RB,248.8,194.9,53.900000000000006,15.6,12.2,3.4,16,39,41.42,371,304.34,3,1.7472,1007,828.2384,9,4.96
Aaron Jones,GB,RB,253.0,234.7,18.30000000000001,14.9,13.8,1.1,17,59,62.13,395,393.87,5,3.408,1125,915.075,2,3.54
Marquise Brown,ARZ,WR,156.0,182.6,-26.599999999999994,13.0,15.2,-2.2,12,67,67.78,709,905.09,3,3.9648,1,4.8412,0,0.0
Myles Gaskin,MIA,RB,9.4,15.2,-5.799999999999999,4.7,7.6,-2.9,2,4,4.61,28,32.59,0,0.4416,26,45.178,0,0.03
Daniel Bellinger,NYG,TE,75.1,60.0,15.099999999999994,6.3,5.0,1.3,12,30,25.95,269,245.58,2,1.5744,2,0.0,1,0.0
Dezmon Patmon,IND,WR,4.4,12.5,-8.1,4.4,12.5,-8.1,1,2,3.82,24,62.81,0,0.4032,0,0.0,0,0.0
Terry McLaurin,WAS,WR,229.0,210.8,18.19999999999999,13.5,12.4,1.1,17,77,73.2,1191,1060.1,5,4.8,29,27.5282,0,0.0
Michael Strachan,IND,WR,8.9,21.8,-12.9,0.7,1.7,-1.0,13,3,4.45,59,70.12,0,1.728,0,0.0,0,0.0
Brandin Cooks,HST,WR,144.6,156.3,-11.700000000000015,11.1,12.0,-0.9,13,56,56.28,699,749.0,3,4.0336,7,9.3394,0,0.0
D'Onta Foreman,CAR,RB,128.9,135.4,-6.5,7.6,8.0,-0.4,17,5,6.98,26,49.37,0,0.2112,913,854.7372,5,6.13
Michael Bandy,LAC,WR,18.9,28.3,-9.400000000000002,1.9,2.8,-0.9,10,10,11.42,89,145.33,0,0.3936,0,0.0,0,0.0
Pharaoh Brown,CLV,TE,23.7,30.3,-6.600000000000001,1.5,1.9,-0.4,16,12,13.33,117,137.25,0,0.5472,0,0.0,0,0.0
