player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Torry Holt,441,WR,SL,16,14.5,4,53.1,,0,0,4,6.9,7,68,26,2,69.6,29.9,80.7,,80.5,0.0,0,4,67,0.0,0,673,6,94,95.1,640,13.7,92,84.9,177,10,86.3,581,1237,297,3.2,13.2,1.93
Marvin Harrison,162,WR,IND,20,14.6,7,62.9,,0,0,0,7.6,9,87,14,2,70.5,36.4,83.2,,83.2,0.0,0,8,68,0.0,0,759,2,110,96.3,731,2.8,21,95.4,175,12,97.2,738,1559,334,3.0,14.2,2.13
Donald Driver,533,WR,GB,16,12.0,13,55.8,,0,0,0,7.1,7,53,12,1,65.3,58.8,80.7,,81.0,0.2,1,5,82,0.0,0,647,2,92,95.7,619,62.9,407,84.8,165,8,36.8,238,1297,524,5.7,14.1,2.1
Reggie Wayne,800,WR,IND,20,14.1,7,64.4,,0,0,1,8.0,9,84,14,1,59.1,58.6,89.1,,88.9,0.0,0,2,53,0.0,0,757,4,103,96.3,729,18.5,140,113.3,160,11,81.5,617,1530,274,2.7,14.9,2.1
Andre Johnson,1319,WR,HST,16,10.2,14,65.6,,0,0,0,8.0,9,56,13,0,58.6,84.0,79.9,,79.6,0.6,3,9,53,0.0,0,541,4,103,95.4,516,28.3,153,74.1,157,5,70.8,383,1155,438,4.3,11.2,2.24
Laveranues Coles,638,WR,NYJ,17,11.0,13,62.6,,0,0,0,1.0,1,54,22,1,90.6,58.3,82.3,,81.2,0.2,1,4,58,0.0,0,585,2,97,94.5,553,20.9,122,87.5,155,6,78.8,461,1156,322,3.3,11.9,2.09
Terrell Owens,188,WR,DAL,17,13.7,20,57.3,,0,0,0,16.5,17,63,9,0,29.0,82.9,80.8,68.7,82.0,1.0,6,5,56,0.3,2,630,7,86,92.1,580,18.6,117,98.1,150,13,79.8,503,1197,373,4.3,13.9,2.06
Roy Williams,1728,WR,DET,16,16.6,10,55.4,,0,0,0,5.7,5,69,11,2,74.3,28.7,88.4,65.7,87.8,0.0,0,6,60,0.2,1,642,1,82,94.5,607,11.8,76,84.0,148,7,88.2,566,1311,324,4.0,16.0,2.16
Anquan Boldin,1369,WR,ARZ,16,11.2,27,56.8,,0,0,0,3.5,3,53,1,1,85.2,82.7,82.6,,83.8,0.0,0,9,64,0.0,0,618,5,83,95.5,590,32.0,198,67.2,146,4,66.7,412,1203,491,5.9,14.5,2.04
Chad Johnson,806,WR,CIN,16,14.8,3,60.8,,0,0,1,7.4,7,67,7,0,65.9,83.3,87.5,,89.5,0.0,0,5,74,0.0,0,577,5,87,95.7,552,6.8,39,94.6,143,7,93.2,538,1375,318,3.7,15.8,2.49
