player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
LaDainian Tomlinson,777,HB,SD,19,345,40,26,39.3,609,0,1549,2,11,40,811,29.2,46,78,27,1,116,90.2,75.0,41.9,68.9,59.6,81.1,71.0,66.5,49,2,515,65,357,383,0,0,87,410,16,1549,811,2.35,4.5,1.44,0
Clinton Portis,1058,HB,WAS,17,343,35,10,15.3,201,0,1307,5,9,35,796,25.9,31,64,32,7,65,55.4,58.9,62.3,67.0,78.2,66.2,55.6,54.7,32,1,417,51,307,384,7,1,61,394,11,1314,798,2.32,3.8,1.36,12
Edgerrin James,439,HB,ARZ,16,323,35,9,14.3,175,0,1221,5,7,35,676,25.3,17,53,1,5,87,54.6,60.5,30.5,,71.1,41.9,63.6,65.5,27,2,208,24,232,356,0,0,33,347,8,1221,676,2.09,3.8,0.9,0
LenDale White,2990,HB,TEN,17,322,24,5,9.8,116,1,1184,2,1,24,741,16.8,23,59,31,5,53,49.9,56.9,58.2,,75.8,47.0,56.9,76.0,28,1,111,21,249,375,0,0,30,343,7,1184,741,2.3,3.7,0.45,11
Willie Parker,2142,HB,PIT,15,321,25,20,33.4,440,0,1316,2,5,25,532,14.5,32,50,25,4,83,59.8,53.5,51.7,49.1,73.9,55.6,53.9,70.1,32,1,164,23,166,337,0,0,27,344,2,1316,532,1.66,4.1,0.99,0
Thomas Jones,585,HB,NYJ,16,310,33,7,12.7,142,0,1122,0,3,33,579,19.9,27,56,22,3,59,69.1,65.8,59.4,,84.2,65.6,61.6,57.9,36,1,217,28,208,361,0,0,30,338,1,1122,579,1.87,3.6,1.04,5
Jamal Lewis,583,HB,CLV,15,298,39,14,28.8,378,0,1312,1,4,39,771,33.9,33,59,8,3,83,67.7,59.9,51.2,,56.7,65.8,59.2,60.3,66,2,248,30,201,325,0,0,36,328,9,1312,771,2.59,4.4,1.23,11
Willis McGahee,1339,HB,BLT,15,294,39,15,28.4,343,0,1206,2,11,39,751,37.9,32,57,3,4,112,68.3,70.7,83.9,,84.8,77.4,64.1,57.1,46,0,231,43,166,316,0,0,48,337,7,1206,751,2.55,4.1,1.39,5
Marshawn Lynch,3628,HB,BUF,13,280,52,9,23.6,263,0,1115,1,9,52,648,47.4,25,52,4,2,66,75.8,80.1,48.2,68.9,55.3,61.1,79.1,57.4,56,1,186,18,134,300,0,0,24,298,7,1115,648,2.31,4.0,1.39,10
Brian Westbrook,1094,HB,PHI,15,278,39,19,30.4,408,0,1340,10,15,39,655,34.6,39,73,24,1,33,88.5,77.7,67.3,,81.0,67.4,79.0,48.2,36,1,771,90,464,323,0,0,109,368,7,1340,655,2.36,4.8,1.66,9
Joseph Addai,2975,HB,IND,16,274,34,6,9.8,109,0,1115,2,8,34,568,27.0,28,69,14,0,58,91.4,79.6,86.5,,70.8,72.8,77.6,57.6,23,0,426,49,339,293,0,0,58,323,12,1115,568,2.07,4.1,1.26,12
Brandon Jacobs,2327,HB,NYG,15,264,38,14,22.4,271,0,1209,9,7,38,653,38.2,28,61,21,6,111,35.1,62.1,85.7,,76.8,30.0,65.7,58.2,43,0,203,27,199,286,0,0,40,291,7,1209,653,2.47,4.6,1.02,1
Frank Gore,2282,HB,SF,15,260,26,12,22.9,253,1,1103,7,13,26,617,29.6,28,43,28,4,112,54.9,56.8,17.5,,66.4,50.1,60.2,42.7,43,4,436,53,264,285,0,0,65,313,5,1103,617,2.37,4.2,1.65,0
Fred Taylor,333,HB,JAX,17,251,60,18,42.0,553,0,1318,2,4,60,754,73.7,38,50,15,2,84,72.5,90.8,81.8,,67.6,44.1,90.8,57.3,80,0,60,10,153,273,0,0,14,261,6,1318,754,3.0,5.3,0.39,1
DeShaun Foster,1041,HB,CAR,16,247,36,3,6.0,53,0,890,4,8,36,436,28.6,22,43,5,7,44,27.0,50.2,21.6,,57.3,39.5,55.3,55.9,20,2,188,25,180,268,0,0,37,272,3,890,436,1.77,3.6,1.04,3
Laurence Maroney,2966,HB,NE,16,246,40,8,20.8,233,0,1120,1,4,40,526,36.9,25,70,19,0,71,91.1,86.5,44.9,,64.0,64.1,84.2,56.3,59,1,177,9,112,279,0,0,12,255,9,1120,526,2.14,4.6,1.58,5
Earnest Graham,1613,HB,TB,16,240,32,7,16.3,157,0,961,8,9,32,602,35.1,23,51,30,1,92,85.0,62.5,85.9,,75.9,49.4,63.2,74.9,28,0,351,53,300,265,0,0,71,293,11,961,602,2.51,4.0,1.17,1
Adrian Peterson,3623,HB,MIN,14,238,46,22,49.1,659,0,1341,3,6,46,726,61.7,43,63,18,4,57,52.0,91.1,44.0,,54.5,66.5,90.8,56.9,73,1,268,19,142,265,0,0,22,257,12,1341,726,3.05,5.6,1.89,10
Steven Jackson,1745,HB,SL,12,237,25,8,31.8,319,0,1002,3,10,25,583,31.3,15,37,26,5,53,39.2,69.7,83.9,67.9,75.0,47.6,71.9,59.1,54,0,271,38,240,254,0,0,48,275,5,1002,583,2.46,4.2,1.13,4
Shaun Alexander,597,HB,SEA,15,231,26,14,32.9,257,0,782,6,3,26,468,23.6,23,40,29,2,37,70.8,48.5,82.9,,44.2,30.8,55.3,58.2,25,0,88,18,210,251,0,0,27,249,5,782,468,2.03,3.4,0.42,4
Marion Barber III,2326,HB,DAL,17,231,57,17,37.2,413,0,1110,3,12,57,608,65.8,31,56,9,4,68,65.2,88.8,84.9,,85.2,60.5,89.6,57.7,54,0,291,45,253,245,0,0,54,276,11,1110,608,2.63,4.8,1.15,4
Ryan Grant,2609,HB,GB,16,229,32,22,50.6,600,0,1186,1,2,32,547,31.0,30,48,12,2,11,72.0,68.5,83.2,,73.7,58.8,67.4,69.9,66,0,148,33,164,241,0,0,38,262,11,1186,547,2.39,5.2,0.9,7
Warrick Dunn,236,HB,ATL,16,228,30,8,23.7,171,0,721,7,5,30,372,21.5,15,36,2,2,53,71.8,53.3,58.7,,73.0,37.4,56.0,59.3,38,2,238,37,229,247,0,0,54,265,4,721,372,1.63,3.2,1.04,7
Justin Fargas,1410,HB,OAK,14,222,19,11,25.8,261,0,1011,3,3,19,560,22.7,24,53,23,3,12,70.4,65.8,83.8,,68.4,47.6,67.7,60.0,48,0,188,23,167,250,0,0,31,245,4,1011,560,2.52,4.6,1.13,2
Cedric Benson,2221,HB,CHI,11,196,15,4,14.8,100,0,674,5,4,15,323,14.7,17,34,6,3,59,53.2,42.4,81.1,,58.0,37.1,46.9,50.7,43,0,123,17,114,213,0,0,26,213,4,674,323,1.65,3.4,1.08,6
Ron Dayne,589,HB,HST,13,194,12,6,19.3,149,0,773,1,2,12,399,13.6,16,43,13,1,32,80.2,56.2,81.6,,75.1,62.1,54.3,50.6,39,1,112,17,147,211,0,0,21,211,6,773,399,2.06,4.0,0.76,2
Maurice Jones-Drew,3005,HB,JAX,17,181,31,12,38.7,316,0,816,3,13,31,388,41.4,24,50,15,2,46,67.3,81.2,85.3,,82.3,79.1,76.6,77.1,57,0,499,47,269,225,0,0,59,228,10,816,388,2.14,4.5,1.86,1
Kenny Watson,1001,HB,CIN,16,178,13,5,11.4,89,0,780,1,9,13,353,19.0,14,40,7,3,29,59.0,70.7,54.5,,65.6,65.7,70.8,68.7,24,1,374,52,290,204,0,0,65,230,7,780,353,1.98,4.4,1.29,1
Rudi Johnson,857,HB,CIN,11,170,22,4,14.5,72,0,498,0,2,22,304,23.5,7,27,7,3,22,46.9,51.2,37.3,,49.5,51.6,53.7,56.7,22,1,110,13,151,198,0,0,15,183,3,498,304,1.79,2.9,0.73,2
Travis Henry,825,HB,DEN,12,167,28,8,22.3,154,0,691,1,0,28,411,39.6,19,37,10,2,24,60.6,60.7,82.0,,70.6,46.4,62.5,57.1,33,0,65,7,157,201,0,0,13,174,4,691,411,2.46,4.1,0.41,11
Julius Jones,1764,HB,DAL,17,167,20,7,22.3,133,0,596,1,8,20,310,27.4,12,25,9,0,48,90.5,63.4,84.0,,72.1,71.2,59.2,58.3,25,0,203,23,197,185,0,0,25,190,2,596,310,1.86,3.6,1.03,0
Larry Johnson,1343,HB,KC,8,158,20,5,29.9,167,0,559,3,4,20,311,25.1,9,26,16,1,41,81.4,56.9,14.5,49.0,39.3,63.7,59.0,59.2,54,3,186,30,171,164,0,0,37,188,3,559,311,1.97,3.5,1.09,3
