player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Reggie Bush,2947,HB,NO,12,157,16,4,14.5,83,0,573,9,13,16,229,18.4,13,32,20,7,17,26.1,59.5,60.5,,25.5,71.0,54.7,44.1,22,1,417,73,376,204,0,0,92,230,4,573,229,1.46,3.6,1.11,0
Chester Taylor,1182,HB,MIN,14,157,27,12,42.0,356,0,847,5,4,27,436,46.3,25,36,18,5,23,27.7,70.2,45.9,68.9,71.6,56.1,71.4,66.4,84,1,285,29,204,175,0,0,39,186,7,847,436,2.78,5.4,1.4,6
Kevin Jones,1751,HB,DET,13,153,24,8,28.2,164,1,581,5,8,24,348,39.3,15,35,11,2,36,66.4,70.4,48.6,,70.5,56.1,74.1,57.7,34,1,197,32,262,169,0,0,41,185,8,581,348,2.27,3.8,0.75,1
Adrian Peterson,1177,HB,CHI,16,151,18,2,8.0,41,0,511,3,12,18,305,30.0,5,26,6,2,52,63.8,63.2,85.9,68.9,78.4,80.8,51.7,58.9,21,0,426,51,234,171,0,0,61,202,3,511,305,2.02,3.4,1.82,1
Maurice Morris,1061,HB,SEA,16,147,17,7,30.2,193,0,640,1,3,17,320,25.6,17,33,29,1,28,75.3,57.3,85.0,,79.2,57.6,55.5,56.1,46,0,213,23,216,168,0,0,31,170,4,640,320,2.18,4.4,0.99,2
Lamont Jordan,819,HB,OAK,12,145,12,6,24.0,132,0,549,2,5,12,259,17.7,15,24,23,1,7,72.6,57.6,82.7,,54.1,67.9,55.3,60.8,33,0,245,27,145,160,0,0,33,172,3,549,259,1.79,3.8,1.69,3
DeAngelo Williams,2972,HB,CAR,16,144,22,6,30.7,220,0,717,4,3,22,407,42.3,23,27,5,1,31,75.1,66.0,48.3,,74.8,33.5,77.3,44.8,75,1,175,23,259,164,0,0,34,167,4,717,407,2.83,5.0,0.68,1
Selvin Young,4109,HB,DEN,15,139,32,11,43.0,326,1,766,5,7,32,373,60.1,15,23,10,2,27,65.1,69.1,49.5,,73.1,48.2,74.7,58.8,50,2,234,35,230,166,0,0,41,174,1,759,373,2.68,5.5,1.02,3
Jesse Chatman,2861,HB,MIA,12,128,25,9,35.1,181,0,515,2,6,25,306,47.8,17,27,17,1,58,73.0,76.7,82.7,,72.0,61.9,76.4,68.0,30,0,161,27,132,148,0,0,34,155,1,515,306,2.39,4.0,1.22,0
Derrick Ward,1949,HB,NYG,8,125,13,7,30.4,183,0,602,5,5,13,302,28.8,12,28,21,2,41,54.7,65.1,84.1,,90.9,48.6,64.1,59.5,44,0,179,26,141,132,0,0,39,151,3,602,302,2.42,4.8,1.27,4
Kenton Keith,4131,HB,IND,17,125,13,4,14.1,76,0,540,7,7,13,222,25.4,17,44,14,1,23,71.4,60.8,82.9,,46.3,29.2,69.9,64.8,22,0,100,15,131,139,0,0,25,140,3,540,222,1.78,4.3,0.76,8
Najeh Davenport,1131,HB,PIT,16,123,28,5,25.3,133,0,525,7,8,28,350,72.1,13,40,25,1,41,89.7,64.1,84.8,,80.2,41.8,66.0,70.9,45,1,175,19,154,140,0,0,29,142,7,525,350,2.85,4.3,1.14,0
Ronnie Brown,2219,HB,MIA,7,119,22,6,24.9,150,0,602,2,15,22,328,64.5,18,39,17,0,45,90.0,89.0,81.9,,76.7,90.1,84.2,59.5,60,0,389,39,164,137,0,0,45,158,4,602,328,2.76,5.1,2.37,1
Aaron Stecker,572,HB,NO,16,115,9,4,16.5,74,0,448,1,4,9,215,16.1,10,29,20,1,18,60.8,64.3,83.2,,66.4,75.4,57.2,78.7,26,0,211,36,160,144,0,0,38,151,5,448,215,1.87,3.9,1.32,0
Michael Turner,1873,HB,SD,19,114,24,3,29.6,142,0,480,1,1,24,277,51.0,9,18,27,1,50,67.9,54.0,78.7,,83.9,46.7,55.6,55.5,74,0,21,5,43,137,0,0,8,119,1,480,277,2.43,4.2,0.49,1
Kolby Smith,3764,HB,KC,9,112,17,3,12.3,50,0,407,4,6,17,222,34.0,7,26,16,0,37,89.3,62.5,83.3,,65.7,46.9,66.3,60.0,19,1,153,22,173,117,0,0,28,134,2,407,222,1.98,3.6,0.88,1
Chris Brown,1407,HB,TEN,13,107,22,4,22.7,107,0,472,0,6,22,320,66.5,10,28,31,3,14,29.6,72.6,84.1,,90.2,73.0,65.7,79.6,42,0,128,19,127,123,0,0,21,126,5,472,320,2.99,4.4,1.01,0
Jerious Norwood,3024,HB,ATL,15,103,12,9,44.6,274,0,615,2,7,12,244,34.4,16,25,2,0,25,89.2,76.3,84.7,,81.3,65.8,76.6,55.5,67,0,277,28,158,120,0,0,35,131,1,615,244,2.37,6.0,1.75,2
Ladell Betts,1063,HB,WAS,17,96,5,2,10.3,36,0,350,2,4,5,194,15.2,10,17,32,1,13,67.9,60.7,84.5,,68.7,67.1,57.1,57.8,20,0,198,24,144,115,0,0,32,120,1,350,194,2.02,3.6,1.38,2
Vince Young,2948,QB,TEN,16,36,14,1,4.8,19,0,70,0,0,0,29,0.0,14,26,31,8,1,73.7,67.8,41.9,69.3,,,55.1,60.0,21,5,0,0,0,459,322,54,0,36,3,392,119,1.32,4.4,,0
Brian Leonard,3668,FB,SL,16,86,7,2,15.8,48,0,303,4,3,7,161,16.1,5,14,26,0,12,66.2,64.0,86.7,,63.0,56.4,66.3,58.8,31,0,183,30,196,175,0,0,38,116,0,303,161,1.87,3.5,0.93,0
Sammy Morris,678,HB,NE,6,85,5,1,12.6,49,0,388,0,0,5,193,12.5,9,25,19,0,21,86.9,73.9,79.7,,74.3,59.4,73.0,67.0,49,0,35,6,64,97,0,0,7,91,3,388,193,2.27,4.6,0.55,5
Reuben Droughns,640,HB,NYG,17,85,13,2,29.1,80,0,275,1,0,13,178,29.6,4,27,21,1,26,62.8,55.4,82.8,,56.6,44.6,58.7,58.2,45,0,49,7,89,104,0,0,14,92,6,275,178,2.09,3.2,0.55,0
Brandon Jackson,3679,HB,GB,13,83,15,3,26.2,79,0,301,2,9,15,216,61.8,6,12,12,0,11,87.1,73.6,81.9,,72.4,68.7,72.7,55.9,46,0,144,18,87,101,0,0,23,101,1,301,216,2.6,3.6,1.66,1
Musa Smith,1392,HB,BLT,16,75,8,3,21.6,57,1,264,1,4,8,155,24.3,10,14,3,1,33,62.8,62.7,85.3,,74.8,66.4,55.6,58.4,24,1,192,27,135,86,0,0,31,102,2,264,155,2.07,3.5,1.42,0
Dominic Rhodes,979,HB,OAK,7,75,7,2,14.6,44,0,302,2,5,7,169,31.4,8,18,23,1,2,59.6,63.1,79.1,,57.1,48.3,65.8,,25,0,70,11,66,77,0,0,16,86,1,302,169,2.25,4.0,1.06,2
Ahmad Bradshaw,3866,HB,NYG,10,71,19,2,25.9,103,0,398,1,3,19,255,102.6,8,15,21,0,33,85.4,85.2,7.8,,79.0,65.5,84.6,59.9,88,1,39,6,46,74,0,0,9,77,2,398,255,3.59,5.6,0.85,0
Leon Washington,3062,HB,NYJ,16,71,12,4,30.0,106,0,353,5,6,12,152,36.0,10,13,22,1,16,64.1,71.1,84.6,75.6,90.3,57.7,72.3,73.1,49,0,213,36,186,94,0,0,49,107,3,353,152,2.14,5.0,1.15,4
Ahman Green,374,HB,HST,6,70,3,1,6.9,18,0,260,1,1,3,129,8.8,7,17,13,0,10,85.7,66.4,16.4,,74.3,57.5,68.5,59.5,18,1,123,14,88,76,0,0,17,84,2,260,129,1.84,3.7,1.4,1
Michael Pittman,382,HB,TB,11,69,4,3,23.0,67,1,291,2,1,4,142,10.3,9,13,30,1,28,62.3,60.2,27.8,,77.1,61.0,59.8,51.1,29,1,253,31,137,89,0,0,38,100,0,291,142,2.06,4.2,1.85,0
Kevin Faulk,470,HB,NE,19,68,6,0,0.0,0,0,289,3,10,6,138,24.1,3,17,19,1,23,68.1,74.9,89.5,,71.4,75.6,74.1,77.6,14,1,553,67,377,73,0,0,77,135,0,289,138,2.03,4.3,1.47,6
T.J. Duckett,1025,HB,DET,12,65,8,5,43.0,144,0,335,1,0,8,209,37.3,11,16,11,0,17,85.0,66.1,80.5,,73.3,54.2,65.8,67.8,53,0,54,4,56,76,0,0,7,69,3,335,209,3.22,5.2,0.96,1
Correll Buckhalter,869,HB,PHI,14,62,7,7,44.1,138,0,313,5,1,7,197,34.4,11,17,24,0,12,84.8,67.9,81.8,,62.1,35.2,76.6,66.3,30,0,87,12,100,76,0,0,20,74,4,313,197,3.18,5.0,0.87,3
Michael Bennett,797,HB,TB,14,60,4,2,20.7,46,0,222,2,6,4,127,27.9,6,9,30,2,18,29.5,58.9,82.3,,57.3,55.7,60.3,56.6,28,0,124,16,73,69,0,0,20,76,0,222,127,2.12,3.7,1.7,0
Jason Wright,2212,HB,CLV,16,60,7,3,18.1,50,0,277,1,4,7,140,30.6,9,19,8,1,14,59.0,71.8,85.4,,80.2,64.3,72.4,57.4,18,0,233,24,215,76,0,0,35,84,1,277,140,2.33,4.6,1.08,3
Fred Jackson,3368,HB,BUF,8,58,13,4,29.7,89,1,300,0,7,13,177,76.3,7,12,4,0,18,85.3,83.1,83.1,,66.5,89.6,81.3,30.8,27,1,190,22,78,64,0,0,28,80,0,300,177,3.05,5.2,2.44,0
Darius Walker,4248,HB,HST,4,58,6,2,21.6,57,0,264,0,4,6,140,34.0,6,13,13,0,16,84.5,60.3,78.3,,51.6,66.1,58.7,58.1,41,0,81,13,81,66,0,0,14,71,1,264,140,2.41,4.6,1.0,0
David Garrard,1109,QB,JAX,14,32,7,2,20.5,51,0,79,0,0,1,54,5.3,9,21,15,4,1,73.0,80.9,49.1,79.7,,,68.0,60.0,32,3,0,0,0,381,170,24,0,32,1,249,156,2.79,4.4,,0
Tarvaris Jackson,3009,QB,MIN,12,22,11,1,13.3,32,0,21,0,0,3,20,12.4,12,19,18,5,1,72.9,59.2,40.6,57.0,78.0,57.6,66.4,60.0,32,4,0,0,1,346,219,32,0,22,3,240,100,1.85,4.4,0.0,0
Cadillac Williams,2222,HB,TB,4,54,6,2,18.3,38,0,208,2,0,6,105,20.5,4,12,30,2,17,26.6,45.7,76.5,,30.5,24.4,59.5,38.8,20,0,17,3,27,57,0,0,5,57,3,208,105,1.94,3.9,0.63,0
Sam Gado,2599,HB,MIA,8,53,5,1,13.3,20,0,150,0,1,5,93,16.2,2,9,17,1,13,51.5,61.7,78.9,,79.1,51.3,61.4,58.4,20,0,111,12,76,62,0,0,13,65,4,150,93,1.75,2.8,1.46,2
Pierre Thomas,4080,HB,NO,10,52,11,1,9.5,24,0,252,0,0,11,143,43.8,8,15,20,0,21,84.3,82.1,80.7,,25.1,72.2,86.8,68.8,24,0,151,17,88,72,0,0,18,69,1,252,143,2.75,4.8,1.72,0
Deshawn Wynn,3844,HB,GB,7,50,8,2,40.4,82,0,203,2,3,8,144,53.7,3,10,12,0,7,83.5,68.6,4.9,,79.0,54.4,70.7,58.4,44,1,73,9,44,54,0,0,14,59,4,203,144,2.88,4.1,1.66,2
Donovan McNabb,438,QB,PHI,14,21,3,0,0.0,0,0,8,0,0,0,5,0.0,6,15,24,9,0,69.6,66.1,53.8,67.9,,57.6,48.3,60.0,40,3,0,0,1,316,228,29,0,21,0,236,63,1.26,4.7,0.0,0
Priest Holmes,309,HB,KC,4,46,8,0,0.0,0,0,137,0,0,8,65,22.2,4,6,16,0,7,83.2,50.1,79.6,,63.8,58.1,49.0,60.0,11,0,17,5,51,51,0,0,9,51,0,137,65,1.41,3.0,0.33,0
Tatum Bell,1762,HB,DET,5,44,2,1,13.2,24,0,182,2,1,2,69,8.1,5,7,11,1,13,48.2,50.4,16.8,,46.3,48.1,54.5,55.3,24,1,63,14,100,52,0,0,18,58,1,182,69,1.57,4.1,0.63,0
Andre Hall,3333,HB,DEN,5,44,10,4,54.2,117,0,216,0,3,10,142,91.2,8,10,10,1,10,42.4,68.6,77.3,,63.9,71.3,66.4,58.1,62,0,69,2,31,57,0,0,2,46,2,216,142,3.23,4.9,2.23,0
Jay Cutler,2956,QB,DEN,16,30,3,0,0.0,0,0,32,0,0,1,14,1.6,6,15,10,11,2,51.4,70.7,53.7,70.8,72.6,,54.0,60.0,31,3,0,0,0,418,151,13,0,30,1,183,42,0.98,4.3,,0
Greg Jones II,1776,FB,JAX,18,42,6,0,0.0,0,0,119,1,5,6,84,40.7,1,8,15,0,8,82.5,80.2,86.3,,73.2,58.1,63.6,85.6,11,1,111,12,169,318,0,0,18,54,2,119,84,2.0,2.8,0.66,0
Matt Hasselbeck,408,QB,SEA,18,24,1,0,0.0,0,0,-15,0,0,0,-1,0.0,3,8,29,11,0,62.2,71.2,58.7,73.6,,57.6,34.7,60.0,12,4,0,0,1,425,104,18,0,24,0,89,15,0.36,2.1,0.0,0
Darren Sproles,2347,HB,SD,10,41,10,4,46.7,93,0,199,0,3,10,115,67.5,7,7,27,0,15,82.5,73.0,80.7,,66.7,86.8,67.4,57.6,34,0,92,13,66,48,0,0,17,54,2,199,115,2.8,4.9,1.39,0
Tom Brady,698,QB,NE,19,24,0,0,0.0,0,0,-2,0,0,0,5,0.0,4,14,19,7,1,89.9,93.9,81.3,93.8,,,43.8,60.0,19,2,0,0,0,479,99,17,0,24,2,97,20,0.49,2.4,,0
Ben Roethlisberger,1732,QB,PIT,16,14,7,0,0.0,0,0,-8,0,0,0,9,0.0,7,18,25,10,1,33.8,81.8,89.8,81.6,,60.0,51.9,60.0,30,0,0,0,1,462,209,25,0,14,2,201,103,2.64,5.2,0.0,0
Antonio Pittman,3723,HB,SL,10,38,6,1,30.9,43,0,139,1,0,6,111,42.7,3,7,26,0,9,81.2,57.4,77.0,,76.2,43.7,59.1,58.1,43,0,15,3,29,41,0,0,7,41,0,139,111,2.92,3.7,0.52,1
Leonard Weaver,2835,FB,SEA,18,37,5,2,31.4,54,0,172,5,9,5,61,29.6,3,16,29,0,3,83.9,68.3,35.2,,74.7,55.0,66.7,74.8,37,2,321,41,299,263,0,0,52,78,2,172,61,1.65,4.6,1.07,1
Heath Evans,843,FB,NE,19,37,2,0,0.0,0,0,130,1,0,2,66,8.5,2,15,19,0,3,81.2,72.6,85.1,,72.5,50.5,77.6,65.3,11,0,56,5,72,201,0,0,6,42,3,130,66,1.78,3.5,0.78,1
Eli Manning,1722,QB,NYG,20,25,1,0,0.0,0,0,-10,0,0,0,2,0.0,4,11,21,15,0,59.3,70.8,10.2,74.6,,,29.4,60.0,18,9,0,0,0,579,89,12,0,25,1,79,11,0.3,2.1,,0
Anthony Thomas,808,HB,BUF,10,36,2,0,0.0,0,1,89,1,4,2,70,22.9,0,4,4,0,11,82.3,67.5,83.4,,80.7,75.6,58.6,60.1,9,1,95,15,67,44,0,0,19,51,0,89,70,1.94,2.5,1.42,1
Jeff Garcia,550,QB,TB,14,16,2,0,0.0,0,0,-6,0,0,0,1,0.0,3,11,30,4,1,57.0,80.7,31.0,85.0,,,37.3,60.0,21,5,0,0,0,328,124,20,0,16,1,118,29,0.81,3.3,,0
Jason Campbell,2242,QB,WAS,13,13,3,0,0.0,0,0,-12,0,0,0,2,0.0,9,15,32,10,0,41.1,72.9,62.1,73.4,60.9,55.2,52.6,60.4,29,3,0,0,2,365,189,22,0,13,1,177,10,0.29,5.1,0.0,0
Tony Romo,1693,QB,DAL,17,15,5,0,0.0,0,0,-6,0,0,1,1,0.4,6,9,9,11,0,46.6,82.6,67.7,81.6,,,59.3,60.0,17,4,0,0,0,413,149,19,0,15,2,143,48,1.41,4.2,,0
Kyle Eckel,2574,FB,NE,7,33,1,0,0.0,0,0,90,0,0,1,54,4.8,2,5,19,0,4,80.2,57.6,75.2,,79.7,58.5,57.1,58.7,14,0,6,1,8,37,0,0,1,34,2,90,54,1.64,2.7,0.75,1
Philip Rivers,1725,QB,SD,19,23,3,0,0.0,0,0,-16,0,0,0,4,0.0,1,8,27,12,3,49.9,79.5,48.8,82.6,61.3,,29.3,60.0,10,7,0,0,0,509,46,10,0,23,1,30,27,0.82,0.9,,0
Derek Anderson,2430,QB,CLV,16,19,1,0,0.0,0,0,-15,0,0,0,0,0.0,4,12,8,5,0,90.4,64.4,10.9,66.9,,59.4,41.3,60.3,11,7,0,0,0,423,85,13,0,19,3,70,9,0.28,2.2,,0
Chris Henry,3666,HB,TEN,7,32,3,2,40.3,48,0,119,0,1,3,73,24.0,3,5,31,0,13,80.6,60.6,79.6,,73.0,72.5,55.1,57.9,24,0,53,6,49,40,0,0,6,38,2,119,73,2.28,3.7,1.08,0
Cleo Lemon,1271,QB,MIA,9,17,4,0,0.0,0,0,28,0,0,0,20,0.0,2,16,17,7,1,31.6,51.4,69.0,51.4,,,55.6,60.1,11,3,0,0,0,209,73,14,0,17,4,101,73,2.35,3.3,,0
Clifton Dawson,3923,HB,IND,6,30,8,0,0.0,0,0,64,1,0,8,72,60.0,1,3,14,0,11,79.7,51.1,76.9,,79.5,42.6,54.0,56.3,12,0,15,2,31,39,0,0,5,32,1,64,72,2.4,2.1,0.48,3
Garrett Wolfe,3709,HB,CHI,10,30,1,1,30.1,25,0,83,0,6,1,38,22.2,3,4,6,1,12,33.3,56.5,76.0,,84.5,66.6,51.4,60.0,25,0,119,10,35,31,0,0,11,40,0,83,38,1.27,2.8,3.4,0
Brett Favre,14,QB,GB,18,23,0,0,0.0,0,0,-33,0,0,0,0,0.0,1,3,12,9,0,63.9,75.0,46.0,77.5,,,29.4,60.2,21,4,0,0,0,392,36,6,0,23,0,3,2,0.07,0.1,,0
Michael Sellers,432,FB,WAS,15,29,2,1,18.3,15,1,82,3,5,2,63,32.4,1,9,32,1,2,51.8,54.3,68.3,,67.4,49.4,47.4,61.4,15,4,121,18,128,274,0,0,23,47,2,82,63,2.17,2.8,0.95,0
Vernand Morency,2290,HB,GB,15,29,3,1,13.9,15,0,108,1,5,3,43,19.4,2,5,12,1,4,58.4,72.0,87.2,,87.0,72.9,68.7,59.3,15,1,208,32,113,36,0,0,39,61,0,108,43,1.48,3.7,1.84,0
Dwayne Wright,3727,HB,BUF,11,29,2,1,16.0,15,0,94,0,0,2,67,14.4,2,8,4,1,6,29.3,39.9,73.1,,79.2,29.1,45.8,60.0,15,0,17,3,13,30,0,0,3,32,0,94,67,2.31,3.2,1.31,1
Josh McCown,1085,QB,OAK,9,12,0,1,16.8,24,0,44,0,0,0,4,0.0,5,9,23,11,0,28.6,48.3,21.7,52.3,60.9,,40.3,60.0,24,3,0,0,0,221,99,16,0,12,0,143,21,0.75,5.1,,0
