player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Larry Fitzgerald,1724,WR,ARZ,20,11.0,14,67.7,,0,0,0,3.1,4,87,1,1,90.4,70.1,87.7,68.4,86.1,0.5,4,3,78,0.2,2,833,1,126,95.6,796,21.8,182,130.3,186,19,77.4,645,1983,716,5.7,15.7,2.49
Brandon Marshall,3064,WR,DEN,15,11.9,20,58.8,,0,0,1,13.3,16,67,10,3,31.1,24.8,78.0,,75.1,0.0,0,7,47,0.0,0,634,6,104,94.3,598,25.9,164,75.6,177,6,74.1,470,1265,439,4.2,12.2,2.12
Andre Johnson,1319,WR,HST,16,10.5,8,71.0,,0,0,0,8.7,11,80,13,1,59.5,68.3,88.2,,85.9,0.2,1,11,65,0.0,0,603,0,115,96.4,581,26.0,157,90.0,162,8,73.8,445,1577,500,4.3,13.7,2.71
Roddy White,2244,WR,ATL,17,12.4,3,62.7,,0,0,1,13.2,15,71,2,1,36.8,66.8,88.3,,86.1,0.0,0,9,70,0.0,0,530,8,99,94.9,503,30.8,163,86.2,158,8,69.1,366,1468,424,4.3,14.8,2.92
Dwayne Bowe,3639,WR,KC,16,10.2,18,55.5,,0,0,1,15.7,16,49,16,0,28.9,82.6,70.2,,69.5,0.0,0,6,36,0.0,0,626,4,86,96.6,605,10.9,68,74.7,155,7,89.1,558,1022,400,4.7,11.9,1.69
Tony Gonzalez,237,TE,KC,16,9.0,11,64.0,,0,0,0,5.0,5,67,16,0,84.8,83.3,86.9,60.0,85.2,19.5,121,5,35,2.7,17,619,4,96,93.7,580,77.4,479,93.4,150,10,2.7,17,1066,282,2.9,11.1,1.84
Calvin Johnson,3618,WR,DET,16,14.4,14,53.1,,0,0,1,14.3,13,52,11,2,37.2,26.9,73.9,,73.9,0.0,0,8,96,0.0,0,578,3,78,93.8,542,16.3,94,88.6,147,12,83.4,482,1331,514,6.6,17.1,2.46
Anquan Boldin,1369,WR,ARZ,15,6.1,16,71.5,,0,0,0,7.2,8,61,1,3,68.2,25.0,77.0,30.2,77.1,0.2,1,3,79,0.3,2,600,4,103,94.8,569,75.8,455,116.3,144,12,20.7,124,1228,735,7.1,11.9,2.16
Derrick Mason,271,WR,BLT,19,13.0,13,64.8,,0,0,0,6.1,6,69,3,2,73.5,46.0,89.0,,90.0,0.0,0,6,54,0.0,0,550,3,92,94.9,522,47.6,262,88.6,142,6,52.2,287,1227,268,2.9,13.3,2.35
Wes Welker,2204,WR,NE,16,4.6,3,79.3,,0,0,0,6.7,8,57,19,1,75.2,61.8,74.9,,74.9,0.0,0,3,64,0.0,0,568,2,111,96.8,550,83.3,473,99.6,140,3,16.4,93,1165,767,6.9,10.5,2.12
Terrell Owens,188,WR,DAL,16,14.9,4,49.6,,0,0,0,12.7,10,39,9,1,35.8,51.8,70.6,,68.5,0.0,0,9,75,0.0,0,604,2,69,96.2,581,30.6,185,72.0,139,10,69.0,417,1052,292,4.2,15.2,1.81
Reggie Wayne,800,WR,IND,17,13.6,7,62.3,,0,0,0,9.5,9,67,14,0,70.9,82.6,84.4,,81.7,0.0,0,4,72,0.0,0,639,1,86,96.1,614,35.1,224,96.8,138,7,64.9,415,1257,369,4.3,14.6,2.05
Antonio Bryant,1070,WR,TB,16,12.7,7,61.5,,0,0,2,9.8,9,60,30,1,48.5,54.0,82.9,,82.0,0.0,0,5,71,0.0,0,574,5,83,95.8,550,30.8,177,93.7,135,7,69.2,397,1248,401,4.8,15.0,2.27
DeSean Jackson,4363,WR,PHI,19,13.0,3,54.5,,0,0,0,11.0,9,50,24,0,45.5,83.8,71.0,,69.8,0.5,3,7,62,0.0,0,625,0,73,97.8,611,20.0,125,68.2,134,3,78.6,491,1127,353,4.8,15.4,1.84
Greg Jennings,2997,WR,GB,16,14.0,10,60.6,,0,0,0,12.1,11,55,12,1,41.4,82.0,75.5,,74.6,0.0,0,3,63,0.0,0,587,0,80,95.9,563,28.4,167,106.6,132,9,71.6,420,1292,387,4.8,16.2,2.29
Santonio Holmes,2970,WR,PIT,18,13.3,14,51.9,,0,0,0,11.7,9,50,25,2,47.1,29.7,74.9,,73.6,0.0,0,5,65,0.0,0,625,2,68,96.5,603,16.0,100,80.6,131,7,84.0,525,1047,376,5.5,15.4,1.74
Santana Moss,786,WR,WAS,16,10.0,11,60.3,,0,0,1,13.2,12,51,32,1,36.6,61.1,73.2,,70.9,0.0,0,1,67,0.0,0,555,4,79,95.0,527,22.2,123,97.6,131,6,77.8,432,1044,454,5.7,13.2,1.98
Hines Ward,380,WR,PIT,19,8.9,14,69.2,,0,0,0,10.9,11,62,25,1,52.9,64.0,80.7,67.5,79.2,0.2,1,3,49,0.3,2,644,6,90,95.7,616,84.0,541,106.9,130,7,15.7,101,1211,519,5.8,13.5,1.97
T.J. Houshmandzadeh,921,WR,CIN,15,6.9,8,71.3,,0,0,0,7.1,7,51,7,0,68.6,83.2,74.5,,72.5,0.0,0,4,46,0.0,0,575,3,92,96.5,555,73.9,425,88.1,129,4,26.1,150,904,384,4.2,9.8,1.63
Steve Smith,837,WR,CAR,15,15.0,12,62.0,,0,0,0,10.1,9,61,5,1,58.0,54.6,91.3,65.7,91.4,0.0,0,7,65,0.2,1,420,3,80,96.0,403,34.8,146,96.5,129,7,65.2,274,1464,472,5.9,18.3,3.63
Braylon Edwards,2220,WR,CLV,16,14.2,5,43.0,,0,0,2,25.7,19,42,8,0,25.9,80.2,60.4,,60.9,0.0,0,9,70,0.0,0,544,10,55,95.2,518,14.2,77,44.8,128,3,85.8,467,873,238,4.3,15.9,1.69
Eddie Royal,4356,WR,DEN,15,10.0,3,71.7,,0,0,1,6.2,6,43,10,1,83.8,60.4,73.7,,73.2,0.0,0,4,93,0.0,0,596,5,91,94.1,561,21.0,125,93.9,127,5,78.4,467,980,364,4.0,10.8,1.75
Steve Breaston,3758,WR,ARZ,20,11.0,8,74.4,,0,0,0,9.1,9,51,1,0,57.4,83.1,69.9,69.3,68.6,0.1,1,4,58,0.3,2,729,2,90,96.0,700,22.6,165,98.8,121,3,77.2,563,1170,335,3.7,13.0,1.67
Jason Witten,1384,TE,DAL,16,9.1,5,68.1,,0,0,1,4.7,4,50,9,0,79.5,82.3,90.8,70.5,89.4,68.3,369,7,42,9.1,49,540,7,81,86.9,469,21.5,116,78.8,119,4,1.9,10,952,353,4.4,11.8,2.03
Randy Moss,342,WR,NE,16,14.8,4,59.0,,0,0,0,12.7,10,48,19,2,35.2,29.3,70.0,,68.6,0.0,0,3,76,0.0,0,603,1,69,97.0,585,20.9,126,107.9,117,11,79.1,477,1010,370,5.4,14.6,1.73
Muhsin Muhammad,173,WR,CAR,17,10.4,9,60.9,,0,0,1,12.5,10,50,5,2,38.6,27.4,79.8,66.1,73.4,0.0,0,4,60,0.2,1,464,4,70,95.7,444,32.5,151,88.2,115,5,67.2,312,978,370,5.3,14.0,2.2
Torry Holt,441,WR,SL,16,11.8,2,55.7,,0,0,0,8.6,6,40,26,0,60.9,80.8,68.6,,67.8,0.0,0,4,45,0.0,0,514,5,64,95.1,489,11.7,60,71.5,115,3,88.3,454,796,169,2.6,12.4,1.63
