player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Javarris Williams,5136,HB,KC,4,21.0,0,0.0,,0,0,0,,0,0,16,0,,70.6,43.7,25.6,54.0,0.0,0,0,0,38.1,8,21,0,0,61.9,13,0.0,0,39.6,1,0,0.0,0,0,0,,,0.0
Keith Zinger,4546,TE,ATL,13,5.0,0,0.0,,0,0,0,100.0,1,0,2,0,27.9,,56.7,74.5,30.2,100.0,32,0,0,28.1,9,32,0,0,71.9,23,0.0,0,39.6,1,0,0.0,0,0,0,,,0.0
Mike Vrabel,268,ED,KC,3,4.0,0,100.0,,0,0,0,0.0,0,1,16,0,64.7,61.2,59.5,0.0,82.6,100.0,4,0,1,0.0,0,4,0,1,75.0,3,0.0,0,118.8,1,1,0.0,0,1,0,0.0,1.0,0.33
Wayne Hunter,1388,TE,NYJ,12,3.0,0,0.0,,0,0,1,100.0,1,0,22,0,27.9,,56.2,30.9,30.3,49.1,28,0,0,56.1,32,57,3,0,42.1,24,1.8,1,39.6,1,0,0.0,0,0,0,,,0.0
Brett Swain,4531,HB,GB,2,17.0,0,0.0,,0,0,0,,0,0,12,0,,,56.4,,56.5,0.0,0,0,0,0.0,0,5,0,0,100.0,5,0.0,0,39.6,1,0,100.0,5,0,0,,,0.0
Justin Harper,4529,WR,BLT,2,8.0,0,0.0,,0,0,0,,0,0,3,0,,,53.1,,50.3,0.0,0,0,0,0.0,0,26,0,0,96.2,25,11.5,3,39.6,1,0,88.5,23,0,0,,,0.0
Michael Matthews,4218,TE,DET,3,46.0,0,0.0,,0,0,0,,0,0,11,0,,,57.5,75.6,52.4,84.6,11,0,0,69.2,9,13,1,0,30.8,4,7.7,1,39.6,1,0,0.0,0,0,0,,,0.0
Cameron Morrah,5172,TE,SEA,2,3.0,0,100.0,,0,0,0,0.0,0,0,29,0,64.7,61.2,57.2,,56.9,50.0,2,0,3,0.0,0,4,0,1,100.0,4,25.0,1,79.2,1,0,25.0,1,3,0,0.0,3.0,0.75
Jaymar Johnson,4507,WR,MIN,2,9.0,0,100.0,,0,0,0,0.0,0,0,18,0,64.7,61.2,56.7,,56.8,0.0,0,0,9,0.0,0,8,0,1,100.0,8,0.0,0,104.2,1,0,100.0,8,9,0,0.0,9.0,1.13
Xavier Omon,4493,HB,BUF,3,2.0,0,0.0,,0,0,0,,0,0,4,0,,69.7,69.4,73.6,56.0,0.0,0,0,0,28.6,2,7,0,0,71.4,5,14.3,1,39.6,1,0,0.0,0,0,0,,,0.0
Alex Smith,2218,QB,SF,11,-7.0,0,100.0,,0,0,0,0.0,0,0,28,3,,76.7,71.0,,,0.0,0,0,-6,0.0,0,423,6,1,0.0,0,0.0,0,79.2,1,0,0.0,0,-6,1,1.0,-6.0,
Matthew Slater,4467,WR,NE,4,23.0,0,0.0,,0,0,0,,0,0,19,0,64.7,64.6,62.9,,61.7,0.0,0,0,0,0.0,0,25,1,0,88.0,22,16.0,4,39.6,1,0,84.0,21,0,0,,,0.0
Brock Bolen,5264,FB,JAX,3,10.0,0,0.0,,0,0,0,,0,0,15,0,,,47.3,76.1,52.8,0.0,0,0,0,25.0,5,20,0,0,75.0,15,0.0,0,39.6,1,0,10.0,2,0,0,,,0.0
Zach Potter,5302,TE,JAX,1,3.0,0,100.0,,0,0,0,0.0,0,0,15,0,64.7,61.2,53.3,70.0,59.8,100.0,4,0,3,50.0,2,4,1,1,50.0,2,0.0,0,79.2,1,0,0.0,0,3,0,0.0,3.0,1.5
Colin Cloherty,5308,TE,IND,1,2.0,0,100.0,,0,0,0,0.0,0,0,14,0,64.7,61.2,53.0,,50.8,61.5,8,0,2,0.0,0,13,0,1,100.0,13,38.5,5,79.2,1,0,0.0,0,2,0,0.0,2.0,0.15
Brett Favre,14,QB,MIN,18,-3.0,0,100.0,,0,0,0,0.0,0,0,18,1,,90.8,90.6,61.3,,0.0,0,0,-2,0.1,1,677,11,1,0.0,0,0.0,0,79.2,1,0,0.0,0,-2,1,1.0,-2.0,
Chris Pressley,5347,FB,TB,6,1.0,0,100.0,,0,0,0,0.0,0,0,30,0,64.7,64.6,58.6,77.2,52.9,3.4,1,0,2,17.2,5,29,0,1,75.9,22,0.0,0,79.2,1,0,0.0,0,2,1,1.0,2.0,0.09
Matt Cassel,2447,QB,KC,15,26.0,0,0.0,,0,0,0,,0,0,16,4,,66.5,59.8,61.3,60.0,0.0,0,1,0,0.2,1,609,8,0,0.2,1,0.0,0,0.0,1,0,0.0,0,0,0,,,0.0
Donald Penn,3459,T,TB,16,-5.0,1,100.0,,0,0,2,0.0,0,1,30,0,67.6,62.3,73.9,70.6,91.3,0.0,0,0,15,100.0,622,622,10,1,0.0,0,0.0,0,118.8,1,0,0.0,0,15,20,20.0,15.0,
Mark Tauscher,705,T,GB,9,-4.0,0,100.0,,0,0,0,0.0,0,0,12,0,67.6,62.3,66.9,65.1,66.9,0.0,0,0,-3,100.0,339,339,2,1,0.0,0,0.0,0,79.2,1,0,0.0,0,-3,1,1.0,-3.0,
Kevin Boothe,3121,G,NYG,9,3.0,0,0.0,,0,0,0,,0,0,21,0,,,68.6,76.2,50.1,2.2,3,0,0,97.8,136,139,0,0,2.2,3,0.0,0,39.6,1,0,0.0,0,0,0,,,0.0
Courtney Roby,2285,WR,NO,6,5.0,0,100.0,,0,0,0,0.0,0,0,20,0,64.7,61.2,52.9,,53.5,0.0,0,0,6,0.0,0,10,0,1,90.0,9,50.0,5,91.7,1,0,50.0,5,6,1,1.0,6.0,0.67
Jerome Simpson,4360,WR,CIN,1,11.0,0,0.0,,0,0,0,,0,0,7,0,,,55.3,,55.2,0.0,0,0,0,0.0,0,9,0,0,88.9,8,22.2,2,39.6,1,0,77.8,7,0,0,,,0.0
