player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Larry Johnson,1343,HB,KC,17,429,61,28,33.9,617,1,1821,7,14,61,1128,41.5,49,92,16,2,206,86.3,57.3,42.7,58.7,72.0,53.7,57.9,61.6,47,2,439,46,355,466,0,0,65,475,17,1821,1128,2.63,4.2,1.24,176
LaDainian Tomlinson,777,HB,SD,17,369,41,24,38.0,734,0,1934,5,8,41,1074,33.4,47,87,27,2,216,83.5,76.5,48.7,70.2,63.1,71.0,75.3,51.5,85,2,572,58,373,461,0,0,77,427,30,1934,1074,2.91,5.2,1.53,112
Thomas Jones,585,HB,CHI,19,351,32,16,23.7,359,1,1518,2,10,32,792,24.2,39,75,6,2,154,90.1,58.4,40.8,60.2,65.1,59.9,58.0,56.4,52,3,170,41,250,390,-1,1,50,392,10,1517,796,2.26,4.3,0.68,182
Tiki Barber,245,HB,NYG,17,352,55,27,34.9,630,0,1804,6,9,55,1043,46.0,54,83,21,3,218,75.0,67.2,65.0,,58.5,71.9,64.9,73.7,55,1,480,60,363,383,0,0,76,412,5,1804,1043,2.96,5.1,1.32,106
Steven Jackson,1745,HB,SL,16,345,57,16,25.8,394,0,1528,7,23,57,815,43.4,37,73,26,4,138,67.1,66.5,86.9,,73.4,66.6,64.0,56.1,59,0,806,90,401,368,0,0,107,435,13,1528,815,2.36,4.4,2.01,159
Rudi Johnson,857,HB,CIN,16,341,43,9,12.9,169,1,1309,1,2,43,835,30.4,30,67,7,4,151,64.6,58.3,56.4,,91.4,53.4,57.6,55.8,22,1,125,22,245,388,0,0,29,363,12,1309,835,2.45,3.8,0.51,167
Edgerrin James,439,HB,ARZ,16,337,31,3,4.5,52,0,1162,1,4,31,816,22.7,20,59,1,4,110,79.4,49.6,85.7,,81.1,62.0,46.8,57.9,18,0,211,37,311,364,0,0,53,374,6,1162,816,2.42,3.4,0.68,198
Willie Parker,2142,HB,PIT,16,336,44,16,33.5,501,0,1495,3,7,44,995,41.2,34,70,25,6,198,43.1,49.1,30.0,,72.6,61.2,48.2,61.0,76,2,226,31,216,363,0,0,40,367,13,1495,995,2.96,4.4,1.05,122
Jamal Lewis,583,HB,BLT,17,327,27,9,16.7,198,0,1184,2,9,27,825,26.1,24,47,3,3,87,69.7,56.7,83.1,,72.4,52.7,56.6,55.2,52,0,139,21,195,362,0,0,26,348,9,1184,825,2.52,3.6,0.71,229
Frank Gore,2282,HB,SF,16,312,57,23,40.8,695,1,1705,4,12,57,1126,66.8,44,69,28,5,185,53.3,66.6,0.0,,73.7,77.5,63.9,65.6,72,7,485,61,269,335,0,0,79,373,8,1705,1126,3.61,5.5,1.8,96
Joseph Addai,2975,HB,IND,20,303,37,12,16.8,230,0,1365,3,12,37,798,35.4,32,89,14,3,84,71.1,80.1,86.7,52.3,86.3,89.5,73.0,47.5,41,0,443,62,322,332,0,0,70,365,9,1370,798,2.63,4.5,1.38,198
Chester Taylor,1182,HB,MIN,15,303,39,9,24.3,296,0,1218,2,8,39,801,36.0,25,53,18,5,102,50.3,58.1,83.5,,80.3,60.3,55.6,64.8,95,0,288,42,238,324,0,0,48,345,6,1218,801,2.64,4.0,1.21,192
