player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Shaun Alexander,597,HB,SEA,12,302,29,12,20.6,223,0,1080,2,2,29,601,19.6,30,70,29,5,143,46.5,51.4,54.6,,79.5,34.6,56.2,56.7,33,1,60,13,246,315,0,0,17,315,9,1080,601,1.99,3.6,0.24,148
Julius Jones,1764,HB,DAL,17,289,27,8,21.2,253,0,1196,2,0,27,697,21.7,27,47,9,2,139,86.4,46.2,52.7,,75.0,53.9,45.9,71.0,77,1,142,11,180,302,0,0,17,300,4,1196,697,2.41,4.1,0.79,130
Warrick Dunn,236,HB,ATL,16,286,31,8,22.4,255,0,1140,2,2,31,676,25.3,18,48,2,1,23,86.8,56.5,85.8,,67.9,43.3,57.7,64.6,90,1,170,22,259,343,0,0,25,308,4,1140,676,2.36,4.0,0.66,254
Brian Westbrook,1094,HB,PHI,17,273,27,21,36.1,532,0,1474,10,14,27,713,30.2,40,71,24,3,77,78.4,68.6,88.4,,72.4,64.6,68.0,55.3,71,3,717,82,445,312,0,0,116,355,10,1474,713,2.61,5.4,1.61,165
Deuce McAllister,793,HB,NO,17,271,20,13,26.7,326,0,1220,4,5,20,773,23.2,23,62,20,3,59,65.6,68.6,83.7,,59.8,50.4,71.3,52.1,57,0,245,37,224,320,0,0,42,308,12,1220,773,2.85,4.5,1.09,192
Travis Henry,825,HB,TEN,14,270,55,18,37.7,456,0,1211,1,2,55,877,64.3,26,45,31,2,48,74.8,64.8,27.9,,76.7,48.1,66.2,55.9,70,3,78,18,216,313,0,0,22,288,7,1211,877,3.25,4.5,0.36,196
Ahman Green,374,HB,GB,14,266,15,6,16.6,175,0,1056,9,5,15,638,15.4,24,55,12,3,27,65.2,42.0,86.3,,78.1,34.8,43.8,56.7,70,0,388,46,246,282,0,0,58,312,5,1056,638,2.4,4.0,1.58,221
Willis McGahee,1339,HB,BUF,14,260,36,8,20.5,204,0,995,1,8,36,606,36.9,23,49,4,4,80,52.5,52.0,84.0,,63.6,68.7,50.0,45.1,57,0,156,18,176,290,0,0,23,278,6,995,606,2.33,3.8,0.89,160
Dominic Rhodes,979,HB,IND,20,249,28,10,21.2,201,0,947,3,4,28,602,26.5,21,53,14,4,74,52.3,55.1,85.3,,77.3,69.7,50.5,55.4,36,1,321,43,245,266,0,0,51,292,6,947,602,2.42,3.8,1.31,147
Ladell Betts,1063,HB,WAS,16,245,17,15,24.8,287,0,1157,2,5,17,703,21.3,37,58,32,6,106,32.0,54.5,86.0,,86.0,66.4,49.1,65.0,26,0,441,52,279,271,0,0,62,297,4,1157,703,2.87,4.7,1.58,108
Ronnie Brown,2219,HB,MIA,13,241,29,12,27.4,275,0,1003,2,10,29,623,36.8,26,49,17,5,136,61.7,57.6,86.1,52.8,80.3,65.2,54.7,48.0,47,0,276,33,247,265,0,0,37,274,5,1003,623,2.59,4.2,1.12,81
Tatum Bell,1762,HB,DEN,13,232,5,12,28.9,295,0,1020,2,5,5,469,7.9,27,42,10,5,52,47.5,51.9,52.0,,77.3,50.4,52.1,55.6,51,1,115,24,167,276,0,0,31,256,2,1020,469,2.02,4.4,0.69,169
Fred Taylor,333,HB,JAX,15,231,48,12,27.3,313,0,1146,3,6,48,750,69.0,33,48,15,3,99,56.8,80.3,42.1,,64.7,57.5,79.9,62.3,76,1,242,23,123,258,0,0,27,254,5,1146,750,3.25,5.0,1.97,112
DeShaun Foster,1041,HB,CAR,14,226,31,9,21.8,196,0,901,5,4,31,559,33.4,26,48,5,4,116,51.3,49.3,54.6,,71.7,40.2,52.2,56.4,43,1,161,33,210,254,0,0,43,259,3,901,559,2.47,4.0,0.77,93
Corey Dillon,249,HB,NE,19,225,21,8,21.1,196,0,931,0,1,21,555,22.5,21,56,19,3,114,57.4,48.7,38.7,,74.2,65.9,48.3,55.7,50,1,147,16,111,251,0,0,17,241,15,931,555,2.47,4.1,1.32,91
Cadillac Williams,2222,HB,TB,14,225,35,9,25.0,200,0,799,4,11,35,577,46.3,16,32,30,2,121,71.4,57.6,21.6,,66.7,44.8,61.5,56.1,38,2,196,30,197,249,0,0,37,255,1,799,577,2.56,3.6,0.99,92
Reuben Droughns,640,HB,CLV,14,219,18,4,10.1,77,0,761,1,5,18,471,20.0,14,38,8,5,66,33.6,50.2,83.2,,45.7,64.2,49.1,63.0,22,0,168,28,230,242,0,0,33,247,4,761,471,2.15,3.5,0.73,123
Laurence Maroney,2966,HB,NE,17,206,30,9,27.2,227,0,836,4,11,30,527,45.8,20,46,19,2,96,72.2,57.7,82.2,,78.3,64.1,55.9,52.5,41,0,200,23,125,255,0,0,29,229,6,836,527,2.56,4.1,1.6,96
Cedric Benson,2221,HB,CHI,18,194,19,6,16.3,122,0,749,1,3,19,518,28.7,18,41,6,1,87,79.6,46.8,80.4,,58.5,63.5,47.2,54.8,30,0,78,11,79,215,0,0,13,205,7,749,518,2.67,3.9,0.99,101
Kevin Jones,1751,HB,DET,12,181,25,6,27.7,190,0,687,6,17,25,441,42.5,13,30,11,5,122,32.6,44.7,2.5,,65.8,70.7,37.6,57.2,52,5,508,60,313,200,0,0,74,241,6,687,441,2.44,3.8,1.62,43
Justin Fargas,1410,HB,OAK,16,178,27,3,12.4,82,0,659,2,3,27,466,41.1,12,27,23,1,91,82.6,55.9,34.2,,73.5,55.0,55.4,58.6,48,1,91,13,83,194,0,0,21,191,1,659,466,2.62,3.7,1.1,75
Reggie Bush,2947,HB,NO,18,171,18,6,17.2,109,0,633,7,19,18,304,24.5,20,32,20,4,52,60.0,66.2,66.8,52.5,61.1,79.5,54.7,64.4,25,1,896,98,411,243,0,0,122,269,7,633,304,1.78,3.7,2.18,92
Maurice Morris,1061,HB,SEA,18,169,15,10,30.8,192,0,624,2,3,15,385,22.8,17,33,29,1,65,76.8,35.8,83.5,,37.4,41.4,39.2,65.6,29,0,46,11,183,185,0,0,17,180,0,624,385,2.28,3.7,0.25,91
Maurice Jones-Drew,3005,HB,JAX,16,166,32,14,40.9,385,0,941,2,14,32,584,76.3,28,46,15,1,79,78.9,75.8,85.9,,63.9,79.6,73.5,48.4,74,0,436,46,237,194,0,0,57,212,13,941,584,3.52,5.7,1.84,55
Leon Washington,3062,HB,NYJ,16,162,23,8,20.9,146,0,700,1,9,23,390,40.3,16,36,22,2,86,62.6,59.8,84.1,,65.3,69.4,56.0,53.4,23,0,295,29,228,185,0,0,35,191,4,700,390,2.41,4.3,1.29,34
Mike Bell,3225,HB,DEN,15,156,11,6,27.4,185,0,675,2,5,11,401,23.4,14,40,10,1,43,76.3,59.1,81.5,,60.1,63.1,58.4,54.3,48,1,158,20,118,178,0,0,24,176,8,675,401,2.57,4.3,1.34,104
Ron Dayne,589,HB,HST,11,149,15,3,9.3,56,0,603,0,1,15,374,24.6,15,40,13,1,30,74.7,59.5,80.0,,88.2,59.9,56.9,56.5,19,0,77,14,104,166,0,0,15,163,5,603,374,2.51,4.0,0.74,104
Marion Barber III,2326,HB,DAL,17,138,20,9,25.5,168,0,658,4,11,20,359,49.2,21,45,9,0,63,90.1,60.8,84.5,,70.6,45.0,64.3,67.1,25,1,219,26,232,151,0,0,33,164,14,658,359,2.6,4.8,0.94,57
Kevan Barlow,841,HB,NYJ,12,131,12,0,0.0,0,0,368,3,0,12,251,16.7,3,18,22,0,80,90.0,37.2,78.4,,53.1,32.2,43.2,58.0,12,0,21,7,34,139,0,0,10,138,6,368,251,1.92,2.8,0.62,36
Clinton Portis,1058,HB,WAS,8,127,10,7,31.0,162,0,523,2,3,10,280,19.9,16,29,32,0,51,89.9,54.9,26.3,,76.4,57.6,53.5,78.6,38,1,170,17,86,149,0,0,23,144,7,523,280,2.2,4.1,1.98,60
Wali Lundy,3115,HB,HST,12,124,11,6,32.3,153,0,474,2,2,11,270,18.0,10,29,13,1,16,73.5,50.5,82.4,60.0,68.6,60.2,46.0,57.9,35,0,204,33,195,136,0,0,38,157,4,474,270,2.18,3.8,1.05,88
Michael Vick,773,QB,ATL,16,50,17,6,10.8,112,1,280,0,0,5,85,16.7,44,55,2,9,11,43.8,66.5,64.9,57.8,61.3,60.0,84.8,60.1,51,3,1,1,1,448,759,73,1,51,2,1039,308,2.5,8.4,1.0,17
DeAngelo Williams,2972,HB,CAR,13,121,16,7,33.3,167,0,501,2,9,16,332,44.8,13,30,5,2,71,60.4,61.1,84.2,,75.7,85.9,50.4,54.0,31,0,311,32,140,152,0,0,35,153,1,501,332,2.74,4.1,2.22,33
Lamont Jordan,819,HB,OAK,9,114,11,7,39.6,172,0,434,0,2,11,330,30.3,12,17,23,1,60,69.0,62.1,80.0,,71.2,46.7,62.6,57.8,59,0,74,10,98,132,0,0,14,124,2,434,330,2.89,3.8,0.76,40
Cedric Houston,2399,HB,NYJ,9,114,8,2,13.6,51,0,374,1,1,8,220,14.4,6,20,22,0,56,88.8,57.2,17.8,,87.1,53.5,57.2,55.8,31,1,43,7,31,122,0,0,8,121,5,374,220,1.93,3.3,1.39,48
Anthony Thomas,808,HB,BUF,15,106,9,2,9.8,37,0,376,0,2,9,284,23.0,6,14,4,1,28,69.0,58.9,84.0,,74.8,84.5,49.7,63.6,19,0,139,22,73,119,0,0,23,128,2,376,284,2.68,3.5,1.9,57
Jerious Norwood,3024,HB,ATL,14,99,8,11,50.9,322,0,633,0,2,8,268,24.4,20,27,2,0,11,88.1,78.3,81.2,60.0,85.9,79.9,73.1,57.3,78,0,102,12,65,118,0,0,14,111,2,633,268,2.71,6.4,1.57,83
Brandon Jacobs,2327,HB,NYG,16,98,18,1,3.7,16,0,432,1,2,18,306,57.3,13,35,21,2,59,43.7,70.0,0.0,,51.0,68.6,71.2,56.4,16,2,149,11,66,117,0,0,13,109,9,432,306,3.12,4.4,2.26,26
Vernand Morency,2290,HB,GB,13,93,12,5,31.1,134,0,431,1,6,12,293,51.6,12,25,12,1,11,65.9,53.1,81.0,,51.5,67.3,51.0,57.7,39,0,118,17,86,102,0,0,18,110,2,431,293,3.15,4.6,1.37,77
Correll Buckhalter,869,HB,PHI,18,92,15,3,14.2,51,0,360,1,11,15,231,55.3,10,17,24,2,25,45.9,58.5,31.6,,65.0,70.3,55.0,59.3,20,1,267,26,143,124,0,0,32,118,2,360,231,2.51,3.9,1.87,65
Sammy Morris,678,HB,MIA,12,92,7,5,37.5,151,0,403,3,6,7,247,30.9,7,17,17,4,52,28.6,51.2,85.6,,86.3,32.7,52.7,55.7,55,0,162,21,166,108,0,0,31,113,1,403,247,2.68,4.4,0.98,30
Vince Young,2948,QB,TEN,15,37,13,1,3.4,19,0,78,0,0,5,56,20.5,21,30,31,10,6,28.9,51.3,62.2,48.5,,,63.7,60.0,39,2,0,0,0,378,474,46,0,37,7,552,240,2.89,6.7,,10
Michael Turner,1873,HB,SD,14,82,19,8,45.1,226,0,501,0,2,19,406,122.3,13,25,27,0,30,86.4,80.7,5.4,,87.6,76.3,77.0,54.8,73,1,47,3,22,102,0,0,3,85,3,501,406,4.95,6.1,2.14,52
Jason Wright,2212,HB,CLV,9,62,4,1,9.2,18,0,195,1,0,4,146,13.9,6,8,8,1,23,53.8,48.5,79.6,,62.4,42.5,51.1,58.8,18,0,82,6,61,71,0,0,10,68,0,195,146,2.35,3.1,1.34,34
LenDale White,2990,HB,TEN,13,61,4,3,26.2,64,0,244,2,2,4,165,21.6,5,13,31,0,13,85.1,51.8,19.4,,91.3,53.3,49.0,59.4,26,1,60,14,95,76,0,0,18,75,0,244,165,2.7,4.0,0.63,42
Najeh Davenport,1131,HB,PIT,13,60,11,3,38.9,86,0,221,1,1,11,204,54.4,5,9,25,1,35,54.7,60.5,19.5,,88.0,82.9,49.5,54.8,48,1,193,15,92,68,0,0,20,75,1,221,204,3.4,3.7,2.1,19
Mike Alstott,170,FB,TB,16,60,6,2,19.3,33,0,171,5,5,6,144,32.6,4,17,30,1,36,57.0,55.0,86.1,,81.0,46.3,42.1,72.5,17,0,85,21,155,275,0,0,35,81,3,171,144,2.4,2.9,0.55,15
Sam Gado,2599,HB,HST,9,56,5,3,38.6,81,0,210,3,1,5,122,17.9,4,9,13,1,11,54.5,51.5,78.4,,84.5,46.3,50.9,56.6,34,0,85,17,85,67,0,0,22,73,1,210,122,2.18,3.8,1.0,37
Tom Brady,698,QB,NE,19,41,1,0,0.0,0,2,15,0,0,0,11,0.0,3,16,19,14,8,91.2,73.2,80.8,75.6,,62.1,38.4,60.1,22,4,0,0,0,543,105,15,0,41,0,120,39,0.7,2.1,,0
David Carr,1009,QB,HST,16,27,2,0,0.0,0,1,28,0,0,1,17,2.3,7,16,13,15,4,27.6,56.7,51.2,62.6,,,29.5,60.0,16,5,0,0,0,387,165,26,0,27,2,193,65,1.23,3.6,,2
Philip Rivers,1725,QB,SD,17,39,0,0,0.0,0,0,-20,0,0,0,5,0.0,1,10,27,8,2,67.8,72.4,79.5,77.5,79.9,57.6,28.3,60.1,15,4,0,0,1,527,61,12,0,39,0,41,22,0.43,0.8,0.0,1
Michael Pittman,382,HB,TB,16,50,5,4,31.8,78,1,245,8,7,5,124,30.7,8,12,30,1,29,85.6,57.7,22.1,,69.1,57.6,57.8,50.0,32,4,405,47,268,84,0,0,71,97,1,245,124,2.48,4.9,1.51,9
Arlen Harris,1621,HB,DET,9,49,6,2,24.1,38,0,158,1,3,6,116,31.8,3,8,11,0,22,83.9,55.7,82.6,,67.9,60.2,51.4,56.9,20,0,132,18,143,56,0,0,26,67,1,158,116,2.37,3.2,0.92,16
David Garrard,1109,QB,JAX,11,20,6,0,0.0,0,0,26,0,0,1,11,2.8,9,20,15,4,6,68.4,65.3,87.7,64.4,,,59.9,60.0,20,1,0,0,0,300,224,27,0,20,0,250,138,2.94,5.3,,0
Charlie Frye,2284,QB,CLV,13,12,6,0,0.0,0,0,-7,0,0,0,3,0.0,9,17,8,8,1,53.1,49.5,46.5,47.8,62.2,,66.1,60.1,17,4,0,0,0,277,223,35,0,12,3,216,145,3.09,4.6,,0
Steve McNair,114,QB,BLT,17,32,4,0,0.0,0,1,-30,0,0,0,6,0.0,7,16,3,6,3,67.0,59.6,7.7,61.8,,58.4,49.0,60.0,19,8,0,0,1,417,138,14,0,32,1,108,46,1.0,2.3,0.0,0
Drew Brees,802,QB,NO,18,33,2,0,0.0,0,0,-45,0,0,0,3,0.0,1,4,20,10,1,83.7,83.2,50.2,86.5,60.9,60.0,29.9,60.0,16,6,0,0,1,505,68,12,0,33,0,23,30,0.67,0.5,0.0,2
Alex Smith,2218,QB,SF,16,21,2,1,12.2,18,0,17,0,0,0,1,0.0,4,13,28,9,3,56.6,49.5,28.9,53.1,60.9,,37.2,60.0,22,5,0,0,0,416,130,23,0,21,2,147,74,1.68,3.3,,1
Artose Pinner,1412,HB,MIN,10,43,7,2,19.5,37,0,190,0,0,7,140,50.6,4,11,18,1,18,39.2,64.2,74.8,,31.0,57.3,65.1,60.0,21,0,15,2,15,44,0,0,3,45,3,190,140,3.26,4.4,1.0,23
Mike Anderson,693,HB,BLT,15,43,4,3,41.3,83,0,201,1,2,4,130,34.2,5,12,3,1,8,45.1,58.7,81.9,,57.7,54.0,61.2,56.1,34,0,60,10,76,60,0,0,14,53,1,201,130,3.02,4.7,0.79,32
Kevin Faulk,470,HB,NE,18,41,2,0,0.0,0,0,198,5,3,2,108,15.0,6,10,19,0,16,84.7,63.9,46.5,60.2,79.9,67.3,58.1,53.2,11,1,379,47,260,56,0,0,61,88,1,198,108,2.63,4.8,1.46,11
Chris Brown,1407,HB,TEN,5,41,5,2,23.7,37,0,156,1,0,5,71,20.1,2,8,31,0,3,82.0,52.0,79.9,,90.9,39.2,49.9,59.3,21,0,4,2,42,48,0,0,5,43,0,156,71,1.73,3.8,0.1,36
Bruce Gradkowski,3139,QB,TB,13,9,2,0,0.0,0,0,2,0,0,0,4,0.0,1,11,30,11,2,37.7,47.8,54.0,49.6,,,47.1,60.0,14,2,0,0,0,244,161,32,0,9,0,163,79,1.93,4.0,,0
Stephen Davis,192,HB,SL,15,40,3,1,9.0,16,0,177,1,1,3,87,16.7,5,10,26,1,10,43.0,58.5,80.3,,71.4,63.3,55.8,60.0,16,0,90,12,59,43,0,0,15,52,0,177,87,2.18,4.4,1.53,14
Zack Crockett,136,FB,OAK,16,39,1,2,20.2,33,0,163,1,1,1,92,9.6,6,14,23,2,20,25.3,56.6,85.6,,69.7,49.1,52.5,61.4,17,2,53,10,89,240,0,0,16,49,0,163,92,2.36,4.2,0.6,4
T.J. Duckett,1025,HB,WAS,10,38,1,3,39.1,52,0,133,0,0,1,86,5.7,6,9,32,1,13,37.5,40.8,76.3,,29.3,59.7,41.9,58.5,19,0,16,2,27,50,0,0,2,40,2,133,86,2.26,3.5,0.59,20
J.P. Losman,1743,QB,BUF,16,20,1,0,0.0,0,0,-5,0,0,0,23,0.0,7,14,4,13,10,28.1,40.4,40.5,44.9,60.9,,28.9,60.1,15,4,0,0,0,414,141,18,0,20,1,136,125,3.29,3.6,,2
Noah Herron,2461,HB,GB,15,37,1,1,12.7,19,0,150,1,3,1,77,12.8,3,7,12,1,1,49.5,65.0,85.4,,84.7,64.0,60.5,58.5,19,0,195,28,118,46,0,0,30,65,1,150,77,2.08,4.1,1.65,30
Michael Robinson,3045,HB,SF,15,37,6,0,0.0,0,1,83,0,2,6,61,28.7,1,4,28,0,27,81.5,52.1,0.0,,81.6,70.6,47.6,65.2,13,3,47,9,51,47,0,0,12,46,2,83,61,1.65,2.2,0.92,5
Michael Bennett,797,HB,KC,12,37,2,3,37.8,76,0,201,0,4,2,114,39.3,6,8,16,0,17,81.8,67.8,78.7,,80.8,71.2,65.1,60.0,41,0,89,10,61,40,0,0,13,47,0,201,114,3.08,5.4,1.46,14
Mack Strong,66,FB,SEA,18,36,6,1,10.8,17,0,157,6,1,6,78,22.6,3,12,29,2,19,50.6,51.9,27.5,,78.0,30.0,57.2,65.6,17,3,176,31,366,360,0,0,45,67,1,157,78,2.17,4.4,0.48,9
Chad Pennington,596,QB,NYJ,17,18,1,0,0.0,0,0,8,0,0,0,10,0.0,3,12,22,8,3,79.7,60.1,90.2,61.0,,,40.8,60.9,15,1,7,0,0,481,101,18,0,18,0,109,49,1.36,3.0,,0
Musa Smith,1392,HB,BLT,12,36,3,2,30.9,46,0,149,0,3,3,68,19.5,3,7,3,1,8,46.9,61.3,82.8,,56.9,75.1,53.4,63.8,30,0,135,22,97,57,0,0,24,58,0,149,68,1.89,4.1,1.39,23
Jake Plummer,248,QB,DEN,12,26,2,1,17.0,19,0,44,0,0,1,23,3.4,4,9,10,6,2,32.4,52.0,71.6,55.1,,,38.0,60.0,19,1,0,0,0,333,68,10,0,26,1,112,60,1.67,3.1,,3
Jon Kitna,217,QB,DET,16,16,3,0,0.0,0,0,10,0,0,0,7,0.0,6,9,11,11,4,62.0,64.3,66.3,65.5,,,43.9,60.0,18,3,0,0,0,296,143,18,0,16,2,153,93,2.74,4.5,,1
Tony Romo,1693,QB,DAL,14,17,0,0,0.0,0,1,-20,0,0,0,12,0.0,4,9,9,10,2,25.4,78.1,88.6,78.6,,,49.8,60.0,16,1,0,0,0,310,110,17,0,17,0,90,38,1.12,2.6,,1
Donovan McNabb,438,QB,PHI,10,12,5,0,0.0,0,0,2,0,0,0,5,0.0,10,14,24,3,0,84.3,71.0,50.2,69.4,,,67.5,60.0,37,2,0,0,0,206,209,20,0,12,3,211,68,2.13,6.6,,0
Jeff Garcia,550,QB,PHI,10,14,1,0,0.0,0,0,-7,0,0,0,1,0.0,5,10,24,6,1,44.4,55.7,42.9,58.2,60.9,,46.3,60.0,12,2,0,0,0,207,115,18,0,14,0,108,35,1.09,3.4,,0
Lorenzo Neal,47,FB,SD,17,32,0,1,29.7,43,1,145,3,3,0,69,12.7,3,22,27,2,0,25.4,66.8,89.2,,77.7,33.3,47.0,83.1,43,2,103,19,144,412,0,0,26,51,1,145,69,2.16,4.5,0.72,0
Ben Roethlisberger,1732,QB,PIT,15,18,4,0,0.0,0,0,19,0,0,0,5,0.0,3,11,25,5,2,77.2,54.5,76.6,55.9,,58.4,40.7,60.0,20,1,0,0,1,382,79,14,0,18,2,98,47,1.47,3.1,0.0,1
Peyton Manning,327,QB,IND,20,24,2,0,0.0,0,0,-15,0,0,0,1,0.0,2,8,14,3,1,92.5,92.6,82.4,92.1,61.3,,50.0,60.0,12,1,0,0,0,587,54,7,0,24,5,39,2,0.06,1.3,,0
Heath Evans,843,FB,NE,19,29,3,1,28.9,35,0,121,0,2,3,63,27.2,3,8,19,1,9,35.1,68.2,84.7,,59.5,77.3,44.7,75.8,35,1,67,11,65,232,0,0,13,40,0,121,63,2.17,4.2,1.03,4
Brad Johnson,31,QB,MIN,15,12,0,0,0.0,0,0,-9,0,0,0,-2,0.0,1,7,18,8,3,74.6,58.9,89.3,59.6,61.3,,43.3,60.0,10,4,0,0,0,379,81,17,0,12,1,72,32,1.1,2.5,,0
Maurice Hicks,1253,HB,SF,13,29,3,0,0.0,0,0,82,0,4,3,49,28.2,0,4,28,0,18,80.6,64.1,77.6,,80.4,90.4,50.9,58.0,9,0,137,13,46,35,0,0,13,42,0,82,49,1.69,2.8,2.98,8
Rex Grossman,1338,QB,CHI,19,27,0,0,0.0,0,1,-34,0,0,0,3,0.0,1,4,6,11,1,55.5,46.3,71.3,50.5,61.3,62.1,25.4,60.0,22,3,-4,1,1,565,22,1,1,28,0,-12,3,0.11,-0.4,-4.0,1
Chris Taylor,3529,HB,HST,3,28,3,1,13.8,17,0,123,0,1,3,68,31.3,2,7,13,0,9,79.4,49.4,75.0,,21.3,65.5,50.3,57.0,17,0,40,3,17,32,0,0,3,31,1,123,68,2.43,4.4,2.35,17
Eli Manning,1722,QB,NYG,17,20,0,0,0.0,0,0,-13,0,0,0,2,0.0,0,6,21,7,6,77.7,60.8,58.7,62.7,,,33.2,60.1,9,5,0,0,0,496,38,7,0,20,0,25,21,0.78,0.9,,0
Carson Palmer,1317,QB,CIN,16,20,0,0,0.0,0,0,-1,0,0,0,8,0.0,1,6,7,11,3,76.4,74.8,32.6,78.1,,,29.2,60.1,11,7,0,0,0,417,38,6,0,20,0,37,8,0.31,1.4,,1
Byron Leftwich,1323,QB,JAX,6,17,1,0,0.0,0,0,6,0,0,1,6,2.1,0,5,15,2,2,63.4,53.1,60.5,57.9,,,34.3,60.0,7,3,0,0,0,177,35,8,0,17,2,41,15,0.6,1.6,,0
Kenny Watson,1001,HB,CIN,16,25,7,1,13.0,18,0,138,1,2,7,96,72.0,5,6,7,0,9,81.0,71.0,85.5,,89.2,68.2,67.7,60.0,18,1,213,23,169,33,0,0,28,48,1,138,96,3.84,5.5,1.26,7
Mewelde Moore,1840,HB,MIN,16,25,9,1,10.8,15,0,139,2,12,9,84,100.8,5,4,18,0,5,82.6,70.6,84.1,72.7,48.1,84.3,64.3,57.1,15,0,460,45,182,31,0,0,55,70,0,139,84,3.36,5.6,2.53,8
Jason Campbell,2242,QB,WAS,7,10,1,0,0.0,0,0,-10,0,0,0,1,0.0,6,8,32,0,2,90.3,46.4,86.6,44.4,60.9,58.4,62.3,60.0,15,0,0,0,1,221,117,14,0,10,0,107,73,3.04,4.5,0.0,0
Aveion Cason,945,HB,DET,6,24,4,1,17.0,16,1,94,1,0,4,59,33.9,2,4,11,0,11,79.0,52.5,0.0,,64.1,46.9,56.6,59.3,16,1,26,5,50,29,0,0,9,29,0,94,59,2.46,3.9,0.52,10
Derrick Blaylock,889,HB,NYJ,2,23,4,0,0.0,0,0,39,0,0,4,42,26.1,0,0,22,0,15,79.2,53.5,79.6,,66.4,58.0,50.7,57.1,6,0,29,5,53,32,0,0,7,28,0,39,42,1.83,1.7,0.55,5
