player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Nate Washington,2832,WR,PIT,19,6,2,0,0.0,0,0,19,7,3,2,19,29.9,0,1,25,0,0,80.2,66.8,62.8,,,64.1,66.0,86.3,8,2,693,47,534,282,0,0,89,53,0,19,19,3.17,3.2,1.3,0
Devin Hester,3002,WR,CHI,15,6,0,2,57.4,35,1,61,5,4,0,27,31.6,4,4,6,1,0,42.4,65.0,25.4,,,64.5,78.7,62.2,20,4,665,51,398,220,0,0,86,57,0,61,27,4.5,10.2,1.67,0
Xavier Omon,4493,HB,BUF,2,6,0,0,0.0,0,0,5,0,0,0,10,0.0,0,1,4,0,0,70.6,41.7,68.1,,70.7,60.0,44.6,,2,0,0,0,1,6,0,0,0,6,0,5,10,1.67,0.8,0.0,0
Jon Kitna,217,QB,DET,4,2,1,0,0.0,0,0,3,0,0,0,2,0.0,1,3,11,3,0,50.2,46.3,83.4,49.6,,,33.2,60.0,10,0,0,0,0,58,31,4,0,2,0,34,8,1.33,5.7,,0
Steve Smith,837,WR,CAR,15,5,1,2,97.5,39,0,40,9,12,1,26,79.5,2,3,5,1,0,54.6,91.3,63.6,,65.7,91.4,65.5,76.5,23,3,1464,80,403,404,0,0,129,85,0,40,26,5.2,8.0,3.63,0
Rock Cartwright,1211,HB,WAS,6,5,0,0,0.0,0,0,14,0,0,0,10,0.0,0,0,32,0,0,70.3,43.5,71.2,,0.0,57.8,52.0,60.0,7,0,-7,1,8,6,0,0,1,6,0,14,10,2.0,2.8,-0.88,0
Jesse Chatman,2861,HB,NYJ,3,5,1,0,0.0,0,0,8,0,2,1,11,94.3,0,0,22,0,0,70.9,56.6,69.3,,71.3,67.7,50.2,67.9,5,0,5,2,3,6,0,0,2,7,0,8,11,2.2,1.6,1.67,0
Ted Ginn Jr.,3625,WR,MIA,17,5,1,2,97.3,71,1,73,6,3,1,37,44.8,2,2,17,4,0,22.6,69.0,14.8,,,68.5,82.8,65.8,40,5,827,61,438,211,0,0,100,66,2,73,37,7.4,14.6,1.89,0
Owen Schmitt,4477,FB,SEA,12,5,0,0,0.0,0,0,21,0,0,0,10,0.0,1,1,29,0,0,72.6,44.2,77.2,,21.5,59.4,51.8,46.4,14,0,29,6,41,56,0,0,8,11,0,21,10,2.0,4.2,0.71,0
DeDe Dorsey,3299,HB,CIN,3,5,0,0,0.0,0,0,8,0,2,0,9,51.4,0,0,7,0,0,70.9,54.4,71.0,,70.7,73.3,47.3,,7,0,49,2,10,5,0,0,2,7,0,8,9,1.8,1.6,4.9,0
