player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Jason Witten,1384,TE,DAL,17,8.8,13,69.1,,0,0,0,4.6,5,60,9,1,77.9,58.8,91.6,53.2,91.8,67.4,418,4,53,13.5,84,620,5,103,82.6,512,19.8,123,98.4,149,7,1.9,12,1226,423,4.1,11.9,2.39
Braylon Edwards,2220,WR,CLV,16,13.2,5,54.4,,0,0,1,19.2,19,58,8,3,27.6,28.8,78.5,,80.6,0.0,0,5,78,0.0,0,599,10,80,95.3,571,13.0,78,106.1,147,16,87.0,521,1289,316,4.0,16.1,2.26
Tony Gonzalez,237,TE,KC,16,10.1,13,68.3,,0,0,1,3.9,4,59,16,0,85.9,83.6,86.8,82.7,89.5,58.0,369,4,31,7.1,45,636,10,99,88.7,564,36.5,232,92.7,145,5,4.7,30,1172,300,3.0,11.8,2.08
Bobby Engram,177,WR,SEA,18,9.7,11,72.2,,0,0,0,4.6,5,70,29,1,81.5,58.1,88.1,,88.1,0.2,1,4,49,0.0,0,567,2,104,97.5,553,83.6,474,103.7,144,7,16.0,91,1271,407,3.9,12.2,2.3
Marques Colston,3197,WR,NO,16,9.3,10,68.5,,0,0,0,7.5,8,64,20,1,61.0,56.9,82.1,61.4,81.2,0.0,0,4,45,0.2,1,573,3,98,95.6,548,50.3,288,108.2,143,11,49.7,285,1202,389,4.0,12.3,2.19
Chris Chambers,821,WR,SD,19,15.4,3,57.3,,0,0,1,4.7,4,59,27,1,81.2,82.9,86.0,,85.5,0.2,1,9,44,0.0,0,609,6,82,96.7,589,10.7,65,72.0,143,5,89.2,543,1258,200,2.4,15.3,2.14
Torry Holt,441,WR,SL,16,13.0,1,65.5,,0,0,0,2.1,2,65,26,2,90.5,37.5,84.3,,85.3,0.0,0,8,40,0.0,0,631,5,93,95.1,600,8.9,56,84.5,142,7,91.1,575,1189,202,2.2,12.8,1.98
Steve Smith,837,WR,CAR,15,10.4,16,62.6,,0,0,0,7.4,7,43,5,1,61.3,57.9,80.1,,79.7,0.0,0,5,74,0.0,0,501,1,87,95.6,479,26.9,135,86.1,139,7,72.5,363,1002,475,5.5,11.5,2.09
Kellen Winslow,1727,TE,CLV,16,10.5,3,59.4,,0,0,2,4.7,4,56,8,2,80.0,28.8,76.4,79.0,82.7,25.6,148,5,49,1.9,11,579,15,82,93.6,542,57.0,330,82.0,138,5,15.5,90,1106,354,4.3,13.5,2.04
Roddy White,2244,WR,ATL,16,11.0,7,62.9,,0,0,2,8.8,8,52,2,3,65.0,28.9,77.9,,77.2,0.0,0,3,69,0.0,0,617,9,83,95.8,591,11.5,71,98.2,132,6,88.5,546,1204,467,5.6,14.5,2.04
Donald Driver,533,WR,GB,17,9.5,23,70.3,,0,0,0,4.3,4,53,12,1,77.3,83.0,81.4,,80.8,0.2,1,5,90,0.0,0,611,2,90,95.3,582,79.9,488,91.5,128,3,20.0,122,1207,537,6.0,13.4,2.07
Amani Toomer,169,WR,NYG,20,11.1,5,63.0,,0,0,0,12.1,11,58,21,0,37.2,82.1,71.8,,71.5,0.0,0,4,52,0.0,0,731,6,80,95.5,698,49.4,361,91.3,127,6,50.6,370,1040,277,3.5,13.0,1.49
Kevin Curtis,1389,WR,PHI,16,13.3,9,61.1,,0,0,1,10.5,9,49,24,0,55.4,81.8,77.1,,76.6,0.3,2,3,75,0.0,0,636,2,77,96.9,616,4.1,26,95.7,126,6,95.6,608,1110,362,4.7,14.4,1.8
Santana Moss,786,WR,WAS,15,13.5,4,55.4,,0,0,0,13.0,10,47,32,1,39.1,27.2,73.9,,74.2,0.0,0,5,49,0.0,0,520,2,67,96.5,502,12.5,65,72.2,121,4,87.3,454,876,207,3.1,13.1,1.75
Bernard Berrian,1799,WR,CHI,16,13.6,7,58.7,,0,0,0,4.1,3,48,6,1,81.1,48.9,77.2,,76.5,0.0,0,8,59,0.0,0,573,0,71,96.5,553,5.6,32,70.0,121,5,94.4,541,951,236,3.3,13.4,1.72
Jerricho Cotchery,1829,WR,NYJ,15,10.4,14,68.3,,0,0,0,7.9,7,51,22,1,56.7,55.2,77.3,65.7,77.4,0.2,1,7,50,0.2,1,549,0,82,95.6,525,64.5,354,79.5,120,2,33.7,185,1129,433,5.3,13.8,2.15
Antonio Gates,1609,TE,SD,19,10.9,3,68.1,,0,0,0,5.8,5,56,27,0,73.5,82.1,86.7,64.4,89.6,37.0,206,4,49,2.7,15,557,2,81,95.0,529,42.7,238,106.6,119,9,17.6,98,1044,327,4.0,12.9,1.97
Hines Ward,380,WR,PIT,14,9.3,5,68.1,,0,0,0,6.9,6,53,25,0,70.2,82.8,89.7,85.7,87.1,0.6,3,4,33,0.6,3,463,2,81,95.9,444,55.3,256,94.8,119,7,43.6,202,867,313,3.9,10.7,1.95
Shaun McDonald,1418,WR,DET,16,10.7,10,66.9,,0,0,0,7.1,6,47,11,2,68.6,53.1,68.4,,69.0,0.0,0,8,49,0.0,0,564,2,79,95.2,537,62.6,353,79.9,118,6,36.7,207,943,261,3.3,11.9,1.76
Dwayne Bowe,3639,WR,KC,16,12.8,12,59.3,,0,0,0,6.7,5,51,16,0,69.6,81.4,81.7,62.3,81.2,0.0,0,4,58,0.2,1,582,1,70,95.5,556,23.7,138,86.7,118,5,76.1,443,995,361,5.2,14.2,1.79
Chris Cooley,1802,TE,WAS,17,9.7,12,62.5,,0,0,1,7.9,6,49,32,1,58.8,48.2,77.5,82.2,78.0,50.2,314,1,39,17.1,107,626,3,70,80.2,502,38.2,239,105.0,112,8,7.0,44,827,299,4.3,11.8,1.65
Brian Westbrook,1094,HB,PHI,15,0.2,15,82.6,,0,0,0,10.0,10,31,24,1,52.6,88.5,77.7,81.0,67.4,0.2,1,2,57,18.4,108,587,1,90,79.0,464,7.8,46,103.8,109,5,6.3,37,771,802,8.9,8.6,1.66
Lee Evans,1734,WR,BUF,16,14.9,2,52.4,,0,0,0,8.3,5,38,4,0,60.6,79.8,74.2,,74.0,0.0,0,7,85,0.0,0,469,6,55,97.0,455,11.1,52,67.5,105,5,88.9,417,849,201,3.7,15.4,1.87
Nate Burleson,1386,WR,SEA,18,12.6,10,57.1,,0,0,0,6.3,4,42,29,1,70.7,44.1,69.8,,70.2,0.0,0,4,45,0.0,0,601,3,60,97.3,585,14.0,84,93.8,105,9,86.0,517,791,257,4.3,13.2,1.35
Reggie Brown,2252,WR,PHI,16,11.9,6,58.7,,0,0,1,7.6,5,38,24,1,71.4,57.6,70.0,,67.6,2.1,13,4,45,0.0,0,617,1,61,96.6,596,12.3,76,82.2,104,5,85.4,527,780,169,2.8,12.8,1.31
Joey Galloway,117,WR,TB,16,14.5,6,56.3,,0,0,0,10.8,7,38,30,0,62.3,80.4,77.4,,78.2,0.0,0,6,69,0.0,0,502,1,58,95.8,481,19.9,100,85.5,103,6,79.9,401,1023,380,6.6,17.6,2.13
Kevin Walter,1549,WR,HST,16,11.9,3,64.4,,0,0,0,4.4,3,43,13,0,79.2,81.6,78.3,35.7,76.2,0.8,4,7,46,0.8,4,519,0,65,96.0,498,36.4,189,73.0,101,4,62.4,324,800,177,2.7,12.3,1.61
Roy Williams,1728,WR,DET,12,12.4,5,63.4,,0,0,0,8.6,6,34,11,2,60.8,28.6,71.1,,70.7,0.0,0,5,91,0.0,0,474,1,64,94.5,448,9.3,44,85.3,101,5,90.7,430,838,304,4.8,13.1,1.87
Dallas Clark,1340,TE,IND,16,9.2,11,64.0,,0,0,0,15.8,12,43,14,0,29.7,81.1,76.6,60.9,72.0,32.7,180,2,39,6.2,34,550,0,64,91.1,501,58.7,323,116.3,100,12,6.4,35,711,248,3.9,11.1,1.42
Marty Booker,487,WR,MIA,15,11.2,1,50.5,,0,0,1,13.8,8,28,17,0,44.1,37.7,61.0,,60.9,0.0,0,6,26,0.0,0,539,2,50,96.5,520,45.5,245,45.7,99,1,54.0,291,556,133,2.7,11.1,1.07
Isaac Bruce,80,WR,SL,14,13.1,1,56.1,,0,0,0,5.2,3,36,26,0,74.5,53.6,77.8,,77.3,0.0,0,3,37,0.0,0,440,0,55,95.2,419,14.5,64,80.9,98,4,85.5,376,733,168,3.1,13.3,1.75
Darrell Jackson,639,WR,SF,15,14.1,4,47.4,,0,0,3,13.2,7,33,28,1,41.9,47.9,63.1,,62.8,0.0,0,7,34,0.0,0,464,5,46,96.6,448,8.0,37,43.2,97,3,92.0,427,497,84,1.8,10.8,1.11
Vincent Jackson,2278,WR,SD,19,15.8,9,60.8,,0,0,0,6.3,4,43,27,0,70.4,80.4,79.6,74.1,78.2,0.4,2,3,45,0.2,1,564,6,59,97.3,549,21.5,121,96.7,97,5,77.5,437,923,163,2.8,15.6,1.68
Greg Jennings,2997,WR,GB,15,13.1,5,61.9,,0,0,0,10.4,7,44,12,1,51.8,80.4,76.9,,74.8,0.0,0,6,82,0.0,0,522,1,60,95.0,496,35.8,187,110.6,97,14,64.2,335,1005,408,6.8,16.8,2.03
Anquan Boldin,1369,WR,ARZ,12,7.9,13,75.0,,0,0,0,6.5,5,43,1,2,70.3,29.7,77.9,80.9,80.9,1.5,7,2,44,0.4,2,456,6,72,95.0,433,53.7,245,124.2,96,9,40.1,183,854,390,5.4,11.9,1.97
Ronald Curry,1199,WR,OAK,16,11.3,6,59.8,,0,0,0,12.7,8,36,23,0,38.3,80.5,68.8,70.9,70.9,0.8,4,5,49,0.4,2,511,6,55,92.2,471,49.5,253,76.2,92,4,49.1,251,717,238,4.3,13.0,1.52
Reggie Bush,2947,HB,NO,12,1.0,13,79.3,,0,0,0,11.0,9,24,20,0,48.7,26.1,59.5,25.5,71.0,0.0,0,1,25,8.4,36,427,1,73,88.1,376,15.5,66,88.3,92,2,13.8,59,417,400,5.5,5.7,1.11
Santonio Holmes,2970,WR,PIT,14,16.3,7,59.8,,0,0,0,6.8,4,45,25,1,61.2,43.8,84.7,,84.4,0.0,0,5,83,0.0,0,441,1,55,96.4,425,16.3,72,107.2,92,9,83.7,369,1001,303,5.5,18.2,2.36
Arnaz Battle,1499,WR,SF,16,10.4,4,53.8,,0,0,0,9.3,5,25,28,2,65.6,22.3,63.7,,63.2,0.5,3,4,57,0.0,0,565,1,49,96.3,544,49.9,282,73.6,91,5,49.4,279,583,132,2.7,11.9,1.07
Jerry Porter,617,WR,OAK,16,15.5,6,48.9,,0,0,0,0.0,0,29,23,0,90.2,78.5,73.4,,72.9,0.2,1,9,59,0.0,0,503,1,44,92.6,466,11.1,56,58.1,90,6,88.7,446,705,181,4.1,16.0,1.51
Calvin Johnson,3618,WR,DET,15,15.3,2,53.9,,0,0,0,11.1,6,38,11,1,56.0,79.8,76.3,,74.3,0.0,0,4,49,0.0,0,448,2,48,96.2,431,15.2,68,78.7,89,4,84.8,380,756,167,3.5,15.8,1.75
Justin Gage,1452,WR,TEN,17,14.8,5,62.9,,0,0,0,9.7,6,46,31,1,55.4,40.6,77.1,,75.5,0.2,1,3,73,0.0,0,461,2,56,97.2,448,43.2,199,84.0,89,2,56.2,259,769,253,4.5,13.7,1.72
Ike Hilliard,233,WR,TB,16,7.5,12,74.2,,0,0,0,8.3,6,39,30,2,61.8,46.9,75.1,71.0,72.9,0.4,2,1,56,0.4,2,454,1,66,95.8,435,50.2,228,98.0,89,1,48.7,221,749,309,4.7,11.3,1.72
Antwaan Randle El,1069,WR,WAS,16,11.5,7,68.5,,0,0,0,4.7,3,44,32,1,78.5,81.7,82.6,,82.8,0.2,1,4,54,0.0,0,475,0,61,96.0,456,53.7,255,86.4,89,2,45.1,214,822,212,3.5,13.5,1.8
Mike Furrey,726,WR,DET,16,9.5,0,69.3,,0,0,0,4.7,3,37,11,0,77.7,80.6,68.7,,67.1,0.4,2,3,49,0.0,0,566,2,61,95.2,539,65.9,373,80.9,88,1,33.6,190,664,187,3.1,10.9,1.23
Jeremy Shockey,1021,TE,NYG,14,8.6,6,64.8,,0,0,1,8.1,5,33,21,0,69.9,80.4,78.8,75.1,75.5,71.4,355,6,29,11.1,55,497,4,57,85.1,423,21.5,107,68.3,88,3,6.0,30,619,263,4.6,10.9,1.46
LaDainian Tomlinson,777,HB,SD,19,-0.9,11,74.7,,0,0,0,3.0,2,23,27,0,84.7,90.2,75.0,59.6,81.1,0.0,0,3,36,23.5,113,481,2,65,74.2,357,1.7,8,86.1,87,3,1.9,9,515,611,9.4,7.9,1.44
Owen Daniels,3043,TE,HST,16,10.0,5,72.4,,0,0,0,10.0,7,46,13,4,64.9,19.0,71.7,66.2,74.3,79.3,432,2,29,11.0,60,545,6,63,86.6,472,15.2,83,101.1,87,3,3.3,18,768,218,3.5,12.2,1.63
Roydell Williams,2353,WR,TEN,16,11.2,5,64.0,,0,0,0,3.5,2,38,31,0,81.4,80.2,77.5,,78.1,0.0,0,5,48,0.0,0,395,0,55,97.7,386,4.3,17,81.5,86,4,95.7,378,719,244,4.4,13.1,1.86
Mark Clayton,2239,WR,BLT,16,10.9,7,55.8,,0,0,1,9.4,5,30,3,0,57.0,79.3,63.2,,61.2,0.7,4,3,52,0.0,0,537,1,48,95.7,514,11.5,62,59.8,86,0,87.3,469,531,134,2.8,11.1,1.03
Patrick Crayton,1932,WR,DAL,16,10.8,7,62.4,,0,0,0,7.0,4,35,9,1,66.1,79.6,72.9,,70.6,0.4,2,3,59,0.0,0,544,1,53,95.4,519,43.8,238,102.3,85,7,55.9,304,724,292,5.5,13.7,1.39
David Patten,221,WR,NO,16,13.2,6,64.3,,0,0,0,5.3,3,38,20,2,67.2,25.6,74.5,,73.4,0.0,0,3,58,0.0,0,395,0,54,96.5,381,21.0,83,92.0,84,3,79.0,312,792,255,4.7,14.7,2.08
James Jones,3694,WR,GB,18,11.0,4,59.5,,0,0,0,10.7,6,32,12,3,45.0,21.4,62.9,62.3,61.4,0.2,1,2,79,0.2,1,554,1,50,95.7,530,6.3,35,85.3,84,2,93.5,518,718,254,5.1,14.4,1.35
Bryant Johnson,1333,WR,ARZ,16,12.1,2,55.4,,0,0,0,13.2,7,33,1,0,55.5,78.9,67.6,74.9,67.3,0.4,2,3,30,0.4,2,502,2,46,95.2,478,18.7,94,67.7,83,2,80.9,406,528,92,2.0,11.5,1.1
Laveranues Coles,638,WR,NYJ,12,11.9,7,66.3,,0,0,0,6.8,4,35,22,0,67.4,79.8,84.5,,84.3,0.0,0,3,57,0.0,0,336,2,55,95.5,321,12.8,43,98.8,83,6,86.9,292,646,136,2.5,11.7,2.01
Andre Johnson,1319,WR,HST,9,12.2,6,73.2,,0,0,0,3.2,2,39,13,1,76.7,42.9,90.2,,89.3,0.0,0,5,77,0.0,0,272,1,60,97.4,265,22.4,61,113.4,82,8,77.6,211,851,253,4.2,14.2,3.21
Josh Reed,1043,WR,BUF,15,7.9,9,62.2,,0,0,0,7.3,4,34,4,0,65.8,80.2,69.9,,69.2,0.3,1,3,30,0.0,0,398,3,51,97.0,386,46.7,186,68.0,82,0,52.8,210,578,208,4.1,11.3,1.5
Michael Jenkins,1750,WR,ATL,15,7.2,4,65.4,,0,0,0,11.7,7,31,2,0,47.8,79.8,65.6,19.5,66.4,2.7,12,6,29,1.6,7,445,2,53,94.2,419,93.7,417,69.6,81,4,3.1,14,532,197,3.7,10.0,1.27
Bobby Wade,1448,WR,MIN,16,9.2,3,66.7,,0,0,1,8.5,5,33,18,1,74.0,40.2,71.9,,69.3,0.2,1,5,40,0.0,0,459,5,54,95.4,438,64.9,298,77.7,81,3,34.6,159,650,153,2.8,12.0,1.48
Donte' Stallworth,1020,WR,NE,19,10.2,12,66.7,,0,0,0,8.5,5,30,19,0,60.6,80.0,68.5,,66.6,0.0,0,3,69,0.0,0,513,1,54,95.9,492,7.8,40,96.2,81,3,92.2,473,810,393,7.3,15.0,1.65
Joe Jurevicius,365,WR,CLV,16,9.5,1,62.5,,0,0,0,12.3,7,34,8,0,46.6,79.6,70.6,72.7,68.2,0.5,2,3,50,0.2,1,434,4,50,94.9,412,45.2,196,83.0,80,3,53.7,233,614,233,4.7,12.3,1.49
Deion Branch,1072,WR,SEA,12,11.7,3,62.8,,0,0,0,7.5,4,30,29,0,64.2,79.1,71.2,,71.2,0.0,0,3,65,0.0,0,388,1,49,97.7,379,17.3,67,90.8,78,4,82.7,321,661,206,4.2,13.5,1.74
Ernest Wilford,1841,WR,JAX,18,12.2,5,62.8,,0,0,0,2.0,1,39,15,0,86.2,79.2,77.0,,75.6,0.0,0,1,35,0.0,0,447,3,49,96.4,431,15.9,71,97.1,78,4,84.1,376,578,116,2.4,11.8,1.34
Dennis Northcutt,605,WR,JAX,17,12.2,2,62.8,,0,0,0,5.8,3,33,15,0,71.0,80.2,74.5,,76.1,0.0,0,2,55,0.0,0,376,3,49,96.3,362,49.2,185,96.1,78,4,50.8,191,660,146,3.0,13.5,1.82
Vernon Davis,2951,TE,SF,14,9.9,14,67.5,,0,0,0,7.1,4,31,28,1,67.4,40.4,64.9,62.9,65.9,80.3,419,3,31,9.0,47,522,10,52,87.5,457,10.7,56,87.0,77,4,5.0,26,509,153,2.9,9.8,1.11
Kevin Faulk,470,HB,NE,19,2.2,10,87.0,,0,0,0,4.3,3,31,19,1,79.2,68.1,74.9,71.4,75.6,0.0,0,0,23,18.6,90,485,1,67,77.7,377,7.8,38,100.9,77,1,11.1,54,553,466,7.0,8.3,1.47
Jeff King,3100,TE,CAR,16,6.6,3,62.2,,0,0,1,9.8,5,26,5,2,63.4,23.9,54.2,64.5,51.5,52.1,283,2,29,14.5,79,543,7,46,81.6,443,42.7,232,74.5,74,2,2.4,13,406,142,3.1,8.8,0.92
Muhsin Muhammad,173,WR,CHI,16,12.4,6,54.1,,0,0,0,11.1,5,28,6,0,50.0,78.0,64.0,,61.7,0.0,0,5,44,0.0,0,588,3,40,96.1,565,36.4,214,64.6,74,3,63.6,374,570,179,4.5,14.3,1.01
Bo Scaife,2396,TE,TEN,16,8.1,5,63.0,,0,0,0,9.8,5,28,31,2,56.7,24.1,70.3,82.8,69.6,44.2,183,4,26,16.9,70,414,2,46,81.4,337,45.2,187,60.4,73,1,5.3,22,421,169,3.7,9.2,1.25
Drew Carter,1881,WR,CAR,16,14.9,6,52.1,,0,0,1,11.6,5,28,5,0,51.7,78.3,69.1,,67.9,0.0,0,3,49,0.0,0,416,2,38,96.2,400,32.9,137,76.1,73,4,67.1,279,517,121,3.2,13.6,1.29
Earnest Graham,1613,HB,TB,16,1.1,9,74.6,,0,0,0,13.1,8,14,30,1,41.8,85.0,62.5,75.9,49.4,0.3,1,0,21,21.2,84,396,0,53,75.8,300,1.8,7,84.9,71,0,3.3,13,351,313,5.9,6.6,1.17
Laurent Robinson,3691,WR,ATL,15,12.7,1,53.6,,0,0,1,9.8,4,14,2,1,55.4,29.1,57.7,,57.4,0.0,0,3,74,0.0,0,369,3,37,97.0,358,8.7,32,59.9,69,1,91.3,337,437,132,3.6,11.8,1.22
Drew Bennett,941,WR,SL,14,13.3,0,47.8,,0,0,0,10.8,4,24,26,1,52.7,38.3,65.6,,65.1,0.3,1,10,24,0.0,0,355,0,33,95.5,339,55.2,196,39.5,69,3,44.5,158,375,101,3.1,11.4,1.11
Donald Lee,1465,TE,GB,17,7.5,8,77.9,,0,0,1,7.0,4,33,12,1,60.1,39.8,77.2,89.0,74.2,56.7,230,0,60,11.6,47,406,4,53,84.2,342,22.9,93,139.3,68,7,6.7,27,626,303,5.7,11.8,1.83
Brandon Stokley,498,WR,DEN,13,14.0,0,58.8,,0,0,0,4.8,2,35,10,0,74.0,78.2,78.8,,79.4,0.3,1,3,58,0.0,0,318,1,40,95.9,305,60.4,192,96.1,68,5,39.3,125,635,123,3.1,15.9,2.08
Heath Miller,2247,TE,PIT,17,8.4,6,82.1,,0,0,0,1.8,1,36,25,0,88.4,79.9,87.1,70.8,83.4,66.5,327,1,29,13.6,67,492,6,55,83.3,410,20.1,99,140.5,67,8,3.7,18,651,272,4.9,11.8,1.59
Alge Crumpler,805,TE,ATL,14,5.6,7,62.7,,0,0,0,10.6,5,22,2,0,52.5,78.4,72.5,55.2,65.3,80.7,338,1,55,11.7,49,419,0,42,84.5,354,14.1,59,100.6,67,5,2.9,12,444,276,6.6,10.6,1.25
Kenny Watson,1001,HB,CIN,16,-1.2,9,80.0,,0,0,0,1.9,1,12,7,1,88.7,59.0,70.7,65.6,65.7,0.0,0,0,43,25.1,101,402,1,52,72.1,290,2.5,10,90.6,65,0,1.0,4,374,458,8.8,7.2,1.29
Ted Ginn Jr.,3625,WR,MIA,16,11.4,1,52.3,,0,0,0,5.6,2,18,17,0,70.5,78.1,63.6,,62.7,0.0,0,3,54,0.0,0,394,0,34,97.2,383,16.5,65,63.6,65,2,83.5,329,420,178,5.2,12.4,1.1
Frank Gore,2282,HB,SF,15,0.0,13,81.5,,0,0,1,11.7,7,20,28,1,47.0,54.9,56.8,66.4,50.1,0.2,1,0,23,31.6,129,408,4,53,64.7,264,4.9,20,99.7,65,1,3.2,13,436,409,7.7,8.2,1.65
Marcedes Lewis,2973,TE,JAX,18,9.8,11,67.2,,0,0,0,10.4,5,26,15,0,60.4,78.5,77.1,74.1,73.1,87.6,397,3,34,21.2,96,453,5,43,75.5,342,11.0,50,80.3,64,2,0.7,3,481,156,3.6,11.2,1.41
Greg Olsen,3647,TE,CHI,14,9.3,1,61.9,,0,0,0,11.4,5,19,6,0,53.3,78.5,74.4,59.0,76.5,55.0,149,1,31,8.5,23,271,2,39,87.8,238,32.1,87,83.5,63,2,10.3,28,391,158,4.1,10.0,1.64
Brad Smith,3048,WR,NYJ,16,10.6,4,50.8,,0,0,0,15.8,6,15,22,0,35.4,79.9,57.1,,54.3,0.0,0,6,29,0.0,0,425,0,32,96.2,409,30.6,130,36.9,63,2,67.8,288,325,133,4.2,10.2,0.79
Tony Scheffler,3006,TE,DEN,14,8.6,8,77.8,,0,0,0,2.0,1,28,10,0,86.2,79.2,85.2,76.2,89.9,54.7,157,2,41,7.3,21,287,0,49,89.5,257,27.5,79,116.2,63,5,17.1,49,549,211,4.3,11.2,2.14
Keary Colbert,1783,WR,CAR,12,10.4,5,50.8,,0,0,0,13.5,5,16,5,1,42.0,27.7,51.6,27.6,50.4,0.2,1,4,43,0.5,2,413,1,32,94.2,389,28.3,117,39.9,63,0,71.2,294,332,115,3.6,10.4,0.85
Zach Miller,3654,TE,OAK,16,8.3,5,69.8,,0,0,1,10.2,5,24,23,2,57.8,24.4,65.1,63.2,58.7,78.2,423,1,28,27.2,147,541,3,44,68.2,369,12.2,66,98.9,63,3,4.3,23,444,140,3.2,10.1,1.2
Desmond Clark,529,TE,CHI,16,8.2,6,71.0,,0,0,0,8.3,4,24,6,1,54.1,31.8,65.2,73.7,60.4,75.5,373,1,52,15.8,78,494,5,44,82.0,405,19.2,95,112.6,62,4,3.4,17,545,244,5.5,12.4,1.35
Randy McMichael,1114,TE,SL,16,7.2,2,62.9,,0,0,0,13.3,6,28,26,0,42.9,78.1,67.9,82.1,61.2,76.4,459,2,29,30.6,184,601,3,39,65.9,396,12.1,73,86.0,62,3,0.8,5,429,161,4.1,11.0,1.08
Reggie Williams,1730,WR,JAX,17,12.1,2,67.2,,0,0,0,6.8,3,31,15,3,75.0,20.1,73.3,,72.4,1.6,6,0,80,0.0,0,368,5,41,96.2,354,14.7,54,144.0,61,10,83.4,307,678,230,5.6,16.5,1.92
Clinton Portis,1058,HB,WAS,17,-1.7,9,83.6,,0,0,0,8.9,5,20,32,0,58.7,55.4,58.9,78.2,66.2,0.0,0,1,54,25.6,110,430,1,51,71.4,307,0.5,2,88.3,61,0,0.5,2,417,516,10.1,8.2,1.36
Adrian Peterson,1177,HB,CHI,16,-0.7,12,83.6,,0,0,0,5.6,3,15,6,0,74.0,63.8,63.2,78.4,80.8,0.0,0,0,30,42.7,181,424,0,51,55.2,234,0.5,2,95.8,61,0,0.5,2,426,450,8.8,8.4,1.82
Eric Johnson,929,TE,NO,14,5.8,7,80.0,,0,0,0,9.4,5,19,20,1,57.9,36.3,58.1,67.3,55.6,50.6,243,2,22,19.6,94,480,3,48,77.1,370,36.5,175,90.1,60,2,8.3,40,378,151,3.1,7.9,1.02
