player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Randy Moss,342,WR,NE,19,17.0,2,60.3,,0,0,3,10.3,12,81,19,0,55.4,83.9,87.2,,87.3,0.0,0,4,65,0.0,0,735,10,105,95.6,703,13.9,102,120.4,174,24,86.1,633,1587,315,3.0,15.1,2.26
Wes Welker,2204,WR,NE,19,5.1,21,80.8,,0,0,0,4.8,7,75,19,2,87.7,47.1,88.4,61.5,86.2,0.0,0,3,42,0.2,1,666,1,139,95.6,637,86.6,577,112.4,172,10,13.2,88,1388,770,5.5,10.0,2.18
Brandon Marshall,3064,WR,DEN,16,10.5,39,61.1,,0,0,0,9.7,11,71,10,3,58.5,27.9,91.3,,90.8,0.5,3,6,68,0.0,0,553,7,102,96.2,532,6.1,34,85.0,167,7,92.9,514,1325,537,5.3,13.0,2.49
Plaxico Burress,586,WR,NYG,20,15.7,6,53.0,,0,0,1,5.4,5,62,21,1,71.8,55.1,79.3,,79.8,0.0,0,8,60,0.0,0,716,4,88,95.7,685,14.1,101,83.6,166,13,85.9,615,1246,322,3.7,14.2,1.82
T.J. Houshmandzadeh,921,WR,CIN,16,9.4,18,68.3,,0,0,0,6.7,8,70,7,2,71.0,38.9,82.3,,82.5,0.0,0,9,42,0.0,0,603,6,112,95.7,577,63.3,382,89.8,164,12,36.2,218,1151,369,3.3,10.3,1.99
Reggie Wayne,800,WR,IND,17,12.9,6,69.4,,0,0,0,5.1,6,81,14,3,79.2,26.8,91.6,,91.5,0.0,0,8,64,0.0,0,612,1,111,96.4,590,24.5,150,103.4,160,11,75.5,462,1591,432,3.9,14.3,2.7
Chad Johnson,806,WR,CIN,16,14.9,5,58.9,,0,0,1,9.7,10,75,7,2,53.5,31.0,84.9,,86.0,0.0,0,8,70,0.0,0,599,4,93,95.7,573,6.5,39,84.9,158,8,93.5,560,1440,292,3.1,15.5,2.51
Larry Fitzgerald,1724,WR,ARZ,15,13.1,6,65.4,,0,0,1,2.9,3,72,1,3,90.1,26.0,90.8,,90.7,0.2,1,8,48,0.0,0,609,2,100,95.2,580,9.0,55,95.0,153,10,90.6,552,1412,295,3.0,14.1,2.43
Terrell Owens,188,WR,DAL,16,13.7,13,56.3,,0,0,1,13.3,13,73,9,0,31.4,82.6,85.7,,87.5,0.0,0,10,52,0.0,0,581,10,85,95.7,556,24.8,144,95.5,151,16,74.7,434,1404,362,4.3,16.5,2.53
Derrick Mason,271,WR,BLT,16,9.2,16,68.2,,0,0,0,4.6,5,60,3,1,81.3,58.5,79.8,,80.1,0.6,4,3,79,0.0,0,619,4,103,96.3,596,62.2,385,91.7,151,5,37.2,230,1087,320,3.1,10.6,1.82
